b'#India doesn\\u2019t want another Gujarat 2002.\\nStop #DelhiViolence #DelhiPolice act like a public servant and arrest tho\\u2026 https://t.co/fz4f2aesD3',b'1232037994053369859',b'Bhavna GV',b'gorabhavna',b'World Citizen',"b'Producer- @ilmmovie | Associate Producer- @mantrathemovie | Co-Producer- @MaadathyTheFilm |Entrepreneur|Philanthropist|Writer- Maiya, Vittil'",b'866',b'289',b'17',b'4102',b'3366',b'False',b'False',b'False',b'False',b'2010-08-18 13:57:31'
b'#Maujpur #DelhiPolice #DelhiBurning\\n\\n\\u0907\\u0924\\u0928\\u093e \\u0924\\u094b \\u0906\\u091c \\u0938\\u093e\\u092b \\u0939\\u0948 \\u0915\\u093f ANTI-CAA  \\u0915\\u093e \\u092e\\u0924\\u0932\\u092c ANTI- INDIA OR ANTI HINDU \\u0939\\u0948 \\u092c\\u0938 \\u0914\\u0930 \\u0915\\u0941\\u091b\\u2026 https://t.co/GfjVuhj4WI',b'1232034646969507841',b'Devashish Das',b'devashishdash',"b'Leamington Spa, England'",b'',b'217',b'770',b'9',b'8048',b'37628',b'False',b'False',b'False',b'False',b'2011-11-03 14:13:47'
b'@KhaledBeydoun @dansiddiqui What did police do? What did police do to deserve this? #DelhiPolice #DelhiViolence\\u2026 https://t.co/7rS2VDSx4u',b'1232034619823755264',b'DEEPAK',b'IDeepakGusain',b'INDIA',b'I am as same as you are. Digital Ad sales | Photography | Thinker.',b'69',b'154',b'5',b'493',b'27',b'False',b'False',b'False',b'False',b'2009-08-10 14:55:15'
b'@MaridhasAnswers @KapilMishra_IND started the violence hate speech yesterday you don\\u2019t hear are you duffer spreadin\\u2026 https://t.co/GN6Vffn55J',b'1232034613188579328',b'\\u26a1\\ufe0f\\u0b9c\\u0bbe\\u0bb5\\u0bc0\\u0ba4\\u0bcd\\u2122\\u26a1\\ufe0f\\ufe0f',b'JaveethMunaf',b'UAE/ Tamil Nadu',b'RAISE your WORDS not VOICE It is RAIN that GROWS FLOWERS not THUNDER..! \\u26a1\\ufe0fHorse Racing my Passion \\u26a1\\ufe0f',b'61',b'193',b'0',b'2202',b'676',b'False',b'False',b'True',b'False',b'2014-07-12 18:58:06'
b'#Hinduterrorist_BurningDelhi\\n#DelhiBurning \\n#DelhiPolice \\n#ArvindKejriwal \\n#WhyBJPBurningDelhi #ArrestKapilMishra\\u2026 https://t.co/fxukldQiFQ',b'1232034595681468416',b'Anoop Bhankhar',b'anoop_bhankhar',"b'Hansi, Haryana, India'","b'Ambedkrit Buddhist, ( Anti BJP, Congress or RSS ) Son of Labour. \\u092c\\u094c\\u0926\\u094d\\u0927\\u092e\\u092f \\u0938\\u0941\\u0936\\u093f\\u0915\\u094d\\u0937\\u093f\\u0924 \\u092d\\u093e\\u0930\\u0924\\u0964'",b'202',b'214',b'0',b'573',b'2192',b'False',b'False',b'True',b'False',b'2019-01-20 08:14:55'
b'#DelhiPolice \\n#DelhiRiots \\nNo word for this visual.. \\nHow Delhi police himself urge goons  to attack. https://t.co/5rjISfmzBf',b'1232034577490812933',b'Indian',b'Arish82178473',b'',b'nothing is impossible just focus n believe. \\u263a',b'5',b'19',b'0',b'120',b'137',b'False',b'False',b'True',b'False',b'2020-02-08 10:12:53'
b'@dhruv_rathee Muslim is wrost community in the world. \\n1. \\u0926\\u0947\\u0936 \\u0914\\u0930 \\u0926\\u0941\\u0928\\u093f\\u092f\\u093e \\u0915\\u093e \\u092a\\u0939\\u0932\\u093e \\u0906\\u0924\\u0902\\u0915\\u0940 \\u092e\\u0941\\u0938\\u094d\\u0932\\u093f\\u092e \\u0925\\u093e. \\n2. 2002 \\u0926\\u0902\\u0917\\u0947 \\u0936\\u0941\\u2026 https://t.co/AML8rw1kBF',b'1232034566820519938',b'\\u092c\\u0947\\u0908\\u092e\\u093e\\u0928 \\u092a\\u0924\\u094d\\u0930\\u0915\\u093e\\u0930 - \\u0915\\u0932\\u092f\\u0941\\u0917 \\u0915\\u093e \\u0928\\u093e\\u0930\\u0926',b'BeimaanPatrakar',b'\\u0915\\u093e\\u0932\\u0940 \\u092a\\u0939\\u093e\\u095c\\u0940 \\u0915\\u0947 \\u092a\\u0940\\u091b\\u0947 ',"b'\\u0939\\u092e\\u0938\\u0947 \\u0908\\u092e\\u093e\\u0928\\u0926\\u093e\\u0930\\u0940 \\u0915\\u0940 \\u0909\\u092e\\u094d\\u092e\\u0940\\u0926 \\u0928\\u093e \\u0915\\u0930\\u0947,\\u0939\\u092e \\u092a\\u0942\\u0930\\u0940 \\u0924\\u0930\\u0939 \\u0938\\u0947 \\u092c\\u093f\\u0915\\u093e\\u090a \\u0939\\u0948,\\u092f\\u0915\\u0940\\u0928 \\u0928\\u093e \\u0939\\u094b \\u0924\\u094b \\u092b\\u0949\\u0932\\u094b \\u0915\\u0930 \\u0915\\u0947 \\u0926\\u0947\\u0916 \\u0932\\u0947 \\u0964\\n\\u0907\\u0938 \\u091a\\u0948\\u0928\\u0932 \\u0915\\u094b \\u0916\\u094b\\u0932\\u0928\\u0947 \\u0915\\u093e \\u090f\\u0915 \\u0939\\u0940 \\u092e\\u0915\\u0938\\u0926 \\u0939\\u0948 \\u092a\\u0948\\u0938\\u093e \\u0915\\u092e\\u093e\\u0928\\u093e !\\nhttps://t.co/PbKmrhGK6F'",b'228',b'269',b'0',b'345',b'304',b'False',b'False',b'True',b'False',b'2019-11-23 12:58:57'
b'As long as #DelhiPolice under home minister #AmitShah violence will continue. \\n\\n #DelhiViolence',b'1232034557316214793',b'tinuSingh',b'tinuSin48000973',b'',b'',b'4',b'0',b'0',b'1456',b'312',b'False',b'True',b'True',b'False',b'2019-11-18 05:56:09'
b'@arslankhalid_m @narendramodi @DelhiPolice  Ne Sare Am Janta pe Dawa bool Rhi hai. And Phr b Muslims Terrorist hn??\\u2026 https://t.co/QTjyGnVHVz',b'1232034550458572811',b'\\u0645\\u0633\\u062a \\u0686\\u0691\\u06cc\\u0644\\U0001f648',b'itxchurail',b'Pakistan',b'\\U0001f1f5\\U0001f1f0',b'18',b'116',b'0',b'78',b'30',b'False',b'False',b'True',b'False',b'2019-07-02 17:24:27'
b'#RatanLal #DelhiRiots #\\u0916\\u093f\\u0938\\u093f\\u092f\\u093e\\u0908_\\u092c\\u093f\\u0932\\u094d\\u0932\\u0940_\\u091c\\u0932\\u093e\\u092f\\u0947_\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 #AmitShahResign #IslamicTerrorism #Bhajanpura\\u2026 https://t.co/MhidSDwnvQ',b'1232034541050658816',b'\\u0936\\u094d\\u0930\\u0940 \\u091d\\u093e\\u0901\\u0938\\u093e\\u0930\\u093e\\u092e Torch \\U0001f526\\u0935\\u093e\\u0932\\u0947.',b'Jhaansaaram',b'\\u0905\\u0902\\u0927\\u0947\\u0930\\u0940 \\u0917\\u0941\\u092b\\u093e',"b'\\u0936\\u093f\\u0932\\u093e\\u091c\\u0940\\u0924 \\u0915\\u093e \\u0924\\u095c\\u0915\\u093e, \\u0905\\u0902\\u0917 \\u0905\\u0902\\u0917 \\u092b\\u095c\\u0915\\u093e...\\n\\n\\n\\u0939\\u0930\\u093f \\u0950 \\u092c\\u094b\\u0932\\u0928\\u093e \\u092a\\u095c\\u0947\\u0917\\u093e...\\n\\n(Parody h.. \\u092d\\u093e\\u0935\\u0928\\u093e \\u0915\\u094b \\u0906\\u0939\\u0924 \\u0928 \\u0939\\u094b\\u0928\\u0947 \\u0926\\u0947\\u0902)'",b'7133',b'497',b'6',b'10106',b'9130',b'False',b'False',b'True',b'False',b'2019-02-23 05:34:32'
b'@AamAadmiParty demand the arrest of Kapil Mishra!\\n\\n#AAP \\n#DelhiPolice \\n#ArrestTerroristKapilMishra \\n#DelhiViolence \\n#Delhi',b'1232034526819442690',b'Shivangi C\\u0336h\\u0336o\\u0336u\\u0336b\\u0336e\\u0336y\\u0336',b'ChoubeyShivangi',b'',"b'\\u091a\\u093e\\u092f, \\u092c\\u093f\\u0902\\u0926\\u0940, \\u0915\\u0935\\u093f\\u0924\\u093e, \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f\\u0964'",b'2744',b'278',b'5',b'5132',b'15862',b'False',b'False',b'True',b'False',b'2012-09-22 12:45:58'
b'what is all this? What is happening? \\n#DelhiPolice \\n#DelhiPoliceWithBhagwaTerror\\n#delhipolicejawabdo https://t.co/kUOIaXfCiz',b'1232034521643548672',b'Md Wasim Quraishi',b'MdWasimquraishi',b'Gulbarga karnataka India',b'Member of Quresh Youth committee Gulbarga',b'5037',b'91',b'0',b'749',b'1415',b'False',b'False',b'False',b'False',b'2015-04-02 08:48:45'
b'\\u0916\\u0947\\u0926 \\u0939\\u0948 \\u0915\\u093f \\u0939\\u092e\\u093e\\u0930\\u0947 \\u0938\\u093e\\u0925\\u0940 \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u0928\\u093e\\u0917\\u0930\\u093f\\u0915 \\u0928\\u0947 \\u0939\\u092e\\u0947\\u0902 \\u090f\\u0915 \\u0928\\u092a\\u0941\\u0902\\u0938\\u0915 \\u0917\\u0943\\u0939 \\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u091a\\u0941\\u0928\\u093e\\u0964\\u0907\\u0938\\u0932\\u093f\\u090f \\u0939\\u092e \\u0905\\u092d\\u0940 \\u092d\\u0941\\u0917\\u0924\\u093e\\u0928 \\u0915\\u0930 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902\\u0964 \\u0935\\u0939 \\u0939\\u092e\\u093e\\u0930\\u0947 \\u092d\\u093e\\u0907\\u2026 https://t.co/P9ngCxMu2l',b'1232034506942513152',b'ALOK|\\u0628\\u06c1\\u062a \\u06a9\\u0645 \\u0645\\u0648\\u0631\\u06cc\\u06c1',b'ALOKdelhi6',"b'Chandni Chowk, New Delhi'",b'\\U0001f44d\\U0001f4af%FB #ENTREPRENEUR\\r\\n#founder of FUGEN EDUTECH WORLD\\r\\nWanna do some thing unique#..insan apni najar me sahi hona chahiye..\\r\\nDuniya to bhagwan se bhi dukhi h..',b'5065',b'4331',b'14',b'37702',b'24540',b'False',b'False',b'True',b'False',b'2014-02-14 03:01:56'
"b""#Live Massive Protest at #MANNU #Hyderabad Over the Today's Delhi Violence. Students Raised Delhi Police Murdabad S\\u2026 https://t.co/WCoNLqJpDa""",b'1232034489208983552',b'A18 Telangana News',b'a18_news',"b'Hyderabad, India'","b'News/Media,Journalism,Non-Political,Unbiased Web News Portal'",b'308',b'770',b'1',b'772',b'493',b'False',b'False',b'True',b'False',b'2018-05-03 21:43:06'
b'This is State own terrorism by modi government\\n#DelhiBurning \\n#DelhiPolice https://t.co/HbuWV8Mi2R',b'1232034481504165890',b'Ibrahim Khalil',b'ibrahimbalti007',"b'Gilgit-Baltistan, Pakistan'",b'Student of world & regional  politics+Electrical Engineering+Islam',b'148',b'334',b'1',b'1158',b'706',b'False',b'False',b'True',b'False',b'2018-12-01 14:59:47'
b'#DelhiRiots #IslamicTerrorism #DelhiPolice #DelhiViolence #DelhiBurning\\n\\nDikhana padega Bhosdike https://t.co/c8A6Hj5JkQ',b'1232034459136004099',b'\\u0932\\u0947\\u091c\\u0947\\u0902\\u0921\\u0947\\u0930\\u0940 \\u0906\\u0915\\u093e\\u0936 \\u091a\\u094b\\u092a\\u0921\\u093c\\u093e \\U0001f6a9\\U0001f6a9',b'Godhimelf',b'India',"b'\\u092a\\u0948\\u0930\\u094b\\u0921\\u0940 \\u0964 \\u0964 \\u092e\\u0941\\u091d\\u0947 \\u092b\\u0949\\u0932\\u094b \\u0914\\u0930 \\u0930\\u093f\\u091f\\u094d\\u0935\\u0940\\u091f \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b,\\u092d\\u0917\\u0935\\u093e\\u0928 \\u0906\\u092a\\u0915\\u094b \\u0938\\u0930\\u0915\\u093e\\u0930\\u0940 \\u0928\\u094c\\u0915\\u0930\\u0940 \\u0926\\u0947\\u0902! \\n\\u092c\\u093e\\u0915\\u0940 \\u092b\\u0949\\u0932\\u094b \\u092c\\u0948\\u0915 \\u0924\\u094b \\u0939\\u092e \\u0926\\u0947\\u0902\\u0917\\u0947 \\u0939\\u0940'",b'245',b'150',b'0',b'3618',b'2727',b'False',b'False',b'True',b'False',b'2018-11-09 15:40:34'
b'Once #Modi burned Muslims in #GujaratTourism now its in the capital of #india. Wake up Indians for the sake of huma\\u2026 https://t.co/GIoF1cSWFX',b'1232034457391173637',b'OMAIS JAFRY \\U0001f1f5\\U0001f1f0',b'H_en_O3',"b""can't connect to your internet""","b'life scores a new goal everyday,\\nsunni alhamdulillah \\u2764\\n18 | sagittarius'",b'1374',b'1264',b'0',b'4800',b'21450',b'False',b'False',b'True',b'False',b'2015-06-04 18:26:43'
b'@_MayankSaxena @anuragkashyap72 @DelhiPolice \\u0910\\u0938\\u093e \\u0928\\u091c\\u093c\\u093e\\u0930\\u093e \\u0939\\u0948 \\u092e\\u093e\\u0928\\u094b \\u0915\\u0947 \\u092c\\u0940\\u091c\\u0947\\u092a\\u0940 \\u0928\\u0947 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u093e \\u091a\\u0941\\u0928\\u093e\\u0935 \\u091c\\u0940\\u0924 \\u0932\\u093f\\u092f\\u093e \\u0939\\u094b \\u0928\\u093e\\u091a \\u0917\\u093e\\u0928\\u093e\\u2026 https://t.co/3JjCXuz6sm',b'1232034433471074308',b'Irtaza raza',b'Irtazaraza1',"b'\\u0905\\u091c\\u092e\\u0947\\u0930, \\u092d\\u093e\\u0930\\u0924'",b'want to be writer but loves reading',b'55',b'57',b'1',b'45',b'7278',b'False',b'False',b'True',b'False',b'2012-12-19 08:44:52'
b'#shahrukh\\n#DelhiPolice #DelhiBurning #DelhiViolence #barkha \\n#DelhiRiots #KapilMishra #AmitShah https://t.co/ZLuxOOysoJ',b'1232034387975233536',b'Mancchanda Niraj',b'mancchandaniraj',b'Mumbai',"b'BEYOND KARM\\n\\nNumerology ,Graphology , Metaphysics,Health Healings, Astrology , KPAstrology , Vaastu , Degree Vaastu &  ZoneVaastu.'",b'223',b'0',b'10',b'9447',b'3',b'False',b'False',b'False',b'False',b'2010-02-13 12:03:46'
b'#DelhiPolice #DelhiBurning #DelhiCAAClashes #ModiTerrorist #Terroristestate #Endia #RSS_Is_Terrorist_Organization\\u2026 https://t.co/RmAOdeq35v',b'1232034354131542016',b'MOHIS\\u25fe',b'MohsinSameer555',b'Pakistan',b'A Muslim| Son| Pakistani \\U0001f1f5\\U0001f1f0| friend| Brother| Helper| Traveler | Dreamer and foodie.\\U0001f607\\nMai hoon aur mery sath mera Khuda hai.\\U0001f4aa',b'476',b'465',b'1',b'10560',b'18998',b'False',b'False',b'True',b'False',b'2017-09-23 18:12:51'
b'Total collapse on Intelligence &amp; @HMOIndia. May be @rajnathsingh be made home minister again. #Jihadist must be flu\\u2026 https://t.co/F2ljmXMjbw',b'1232034335445798913',b'Mukesh Kumar Singh',b'MukeshKsinghLaw',b'Jammu And Kashmir',b'A senior journalist who have never reported or written anything for print or electronic media',b'411',b'4998',b'8',b'5752',b'105',b'False',b'False',b'False',b'False',b'2013-07-05 19:51:34'
b'This is our India.\\nOh! My beloved country and countrymen how far have we gone in this hatred.\\n#DelhiViolence\\u2026 https://t.co/RSqdvNFQRk',b'1232034328541970432',b'The Shaheen Bagh Official',b'Shaheen_Bagh1',"b'Shaheen Bagh, Delhi-India'",b'India Is Against The Unconstitutional Laws #CAA_NRC_NPR_BJP_ITCELL',b'21',b'0',b'0',b'90',b'22',b'False',b'False',b'True',b'False',b'2020-01-16 18:57:27'
b'Ye maine jb share kiya tha tb iska naam shahrukh hai ye nhi pata tha isliye kchh sanghi iske paksh me reply kr rahe\\u2026 https://t.co/p1QTXUDCiy',b'1232034304177381376',b'Nishant Singh Parihar',b'nsp2607',"b'Jabalpur, India'",b'Rajput (\\u0930\\u091c\\u092a\\u0942\\u0924).......\\n\\nJaisi aapki vaani waisi hi nishantwani...\\nNishant means Nisha(ratri) ka ant krne wala...\\nBhakt ho ya chamcha watt sbki lagegi..',b'27',b'57',b'0',b'1666',b'1742',b'False',b'False',b'True',b'False',b'2017-07-03 19:24:20'
"b'Shahrukh killed a constable and 3 more people by firing 8 round of bullet but peaceful people, so called stand up c\\u2026 https://t.co/k1y3rY7hXA'",b'1232034284514443268',b'Sarcastic Patriotic Indians',b'SARCASTIC_PI',b'New Delhi',"b'We are Sarcastic Patriotic Indians,\\nsubscribe us on YouTube :\\nhttps://t.co/bHiyjWZxH2'",b'555',b'1',b'5',b'2047',b'8214',b'False',b'False',b'True',b'False',b'2015-03-16 13:46:32'
b'@warispathan @aimim_national @asadowaisi #DelhiPolice #ShahrukhMuslimTerrorist https://t.co/PjLX8bHOGw',b'1232034244165349382',b'Constable Nirakar Mallick',b'NirakarNMallic2',"b'Bhadrak/Surat, India'","b'\\U0001f5e3\\U0001f50aCommon Man\\U0001f405  \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928\\u0940 \\U0001f1ee\\U0001f1f3\\n       \\u2757\\u2b55\\u2757\\U0001f64f\\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0939\\u0941\\u0901 \\U0001f6a9, \\u0938\\u0928\\u093e\\u0924\\u0928 \\u0927\\u0930\\u094d\\u092e \\u092a\\u0930 \\u0917\\u0930\\u094d\\u0935 \\u0939\\u0948 \\U0001f6a9\\U0001f549'",b'129',b'741',b'0',b'1335',b'7934',b'False',b'False',b'True',b'False',b'2019-11-01 12:03:58'
"b""\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u091c\\u0932 \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0914\\u0930 \\u0939\\u092e\\u093e\\u0930\\u093e ' \\u0928\\u0940\\u0930\\u094b ' \\u091c\\u0941\\u0917\\u0932\\u092c\\u0902\\u0926\\u0940 \\u0915\\u0930\\u0928\\u0947 \\u092e\\u0947\\u0902 \\u0935\\u094d\\u092f\\u0938\\u094d\\u0924 \\u0939\\u0948\\u0964 \\u0914\\u0930 '\\u091b\\u094b\\u091f\\u093e \\u0928\\u0940\\u0930\\u094b' \\u090f\\u0932\\u091c\\u0940 - \\u090f\\u0932\\u091c\\u0940 \\u091a\\u093f\\u0932\\u094d\\u0932\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948\\u0964\\u2026 https://t.co/oax4raU1lf""",b'1232034235302711299',b'Akhilesh\\U0001f1ee\\U0001f1f3\\u0905\\u0916\\u093f\\u0932\\u0947\\u0936',b'AkhiileshYadav',"b'Mumbai, India'",b'Proud Indian\\u2666\\ufe0f@INCIndia \\u2666\\ufe0f @IYC \\u2666\\ufe0f Elected State General Secretary #MumbaiYouthCongress \\u2666\\ufe0f Former National Secretary @NSUI \\u2666\\ufe0f\\u0935\\u0938\\u0941\\u0927\\u0948\\u0935 \\u0915\\u0941\\u0941\\u0902\\u092c\\u0915\\u092e\\u094d',b'2242',b'315',b'23',b'10971',b'561',b'False',b'False',b'False',b'False',b'2011-10-30 10:17:33'
"b'Delhi is burning, this is what the goverment wanted. Delhi is made into war zone by Rightwingers!\\n#\\u0b85\\u0ba3\\u0bcd\\u0ba3\\u0bbe\\u0ba4\\u0bcd\\u0ba4\\u2026 https://t.co/F7PNZMjyCS'",b'1232034207817441282',b'Greenteam',b'Greente34124008',b'',b'Kuch khaasss bhn',b'11',b'95',b'0',b'247',b'22',b'False',b'False',b'True',b'False',b'2020-01-25 21:25:33'
b'#DelhiViolence #DelhiPolice #WhyBJPBurningDelhi #ShahMustResign #AmitShahMustResign \\n\\nI would prefer India as \\n\\nVaj\\u2026 https://t.co/dXrqaVPT0u',b'1232034203124084739',b'Dr Devitt',b'Devittism',b'',b'DOCTOR by karm \\n\\nbrahman by dharm',b'0',b'22',b'0',b'25',b'35',b'False',b'False',b'True',b'False',b'2020-02-20 00:31:24'
"b'@_YogendraYadav @abhisar_sharma Apil kyu kare, wo koi pm/cm hai.....Dange kar rahe hai yeh log. Delhi police should\\u2026 https://t.co/rLdJJMYlLD'",b'1232034174128623618',b'Bibhu nandan',b'Bibhunandan5',b'Berhampur',"b'Bharat wasi mai hu, maa bharati ke liye jeeta hu\\n#medico\\n#nationalist\\n#Entrepreneur'",b'44',b'353',b'0',b'183',b'366',b'False',b'False',b'True',b'False',b'2017-05-29 08:08:01'
b'#Mumbai Citizens protesting against #DelhiPoliceWithBhagwaTerror Brutality were detained and taken to Marinedrive p\\u2026 https://t.co/mGox6N7A3u',b'1232034157796188163',b'Raafid Shahab',b'RaafidShahab',"b'Mumbai, India.'","b'Unapologetic Muslim, Mechanical Engineer, IB Tutor, Social Activist, RTs are Not Endorsements'",b'2011',b'784',b'1',b'3592',b'4985',b'False',b'False',b'True',b'False',b'2011-06-07 12:58:36'
"b""Hindutva extremist mob in #Bhajanpura spotted a Muslim with skull cap, they attacked him and forced him to chant 'J\\u2026 https://t.co/zUvH13Gk6X""",b'1232034106482946048',b'@shoibiliya',b'shoib_iliya97',"b'Gulbarga, India'",b'~Practicing muslim~civil engineering~student~',b'184',b'1001',b'0',b'461',b'677',b'False',b'False',b'True',b'False',b'2015-07-24 11:36:27'
b'Still action has not taken against Protesters but already Randi Rona Shuru Hogayaaa.... #DelhiPolice https://t.co/ISyqQxX2nl',b'1232034102263439360',b'Mahadev Ponde \\U0001f1ee\\U0001f1f3',b'SOErabaiMahadev',b'India',b'\\xa0\\u092f\\u0924\\u094b \\u0927\\u0930\\u094d\\u092e\\u0938\\u094d\\u0924\\u0924\\u094b \\u091c\\u092f\\u0903|#ModiReturns | RE-Tweets Not Endorsed',b'321',b'950',b'2',b'14599',b'15587',b'False',b'False',b'True',b'False',b'2011-04-10 05:40:34'
b'Delhi Police personnel killed by Jihadis had wife &amp; three minor children\\U0001f62a\\n#DelhiPolice #Maujpur #Bhajanpura\\u2026 https://t.co/01CGuDu3ZH',b'1232034094382489602',b'Deepak',b'Deepak_Maru',b'',b'',b'209',b'1030',b'0',b'5025',b'11019',b'False',b'False',b'True',b'False',b'2010-01-20 16:15:19'
b'This is so horrible.\\n#DelhiBurning \\n#DelhiPolice https://t.co/QEGjBrhg21',b'1232034058257027072',b'Abbas Shahpal \\U0001f1f5\\U0001f1f0',b'AbbasShahpal',"b'\\u0622\\u0632\\u0627\\u062f \\u06a9\\u0634\\u0645\\u06cc\\u0631, \\u067e\\u0627\\u06a9\\u0633\\u062a\\u0627\\u0646'",b'Medical student \\nAzad Kashmir Pakistan\\U0001f1f5\\U0001f1f0',b'71',b'250',b'0',b'467',b'1962',b'False',b'False',b'True',b'False',b'2016-01-17 08:34:02'
b'Delhi Police has arrested the 33 year old resident of Shahdara named Shahrukh who opened eight rounds fire at Delhi\\u2026 https://t.co/nmt1J1P05c',b'1232034025226653696',b'Asim\\u26a1TigerShorffGF\\U0001f49c',b'AsimDieFan',b'',b'Stay hungry stay foolish \\U0001f37b #AsimRiaz #TigerShorff #Cr7\\nI am 21 \\U0001f480#KRK',b'554',b'95',b'0',b'15464',b'5215',b'False',b'False',b'True',b'False',b'2019-12-04 21:51:51'
b'#DelhiPolice is criminal. https://t.co/5RzERDvTcx',b'1232034013755387909',b'\\u0627\\u0644\\u0644\\u0647\\u064f \\u0623\\u0643\\u0628\\u0631',b'AssertingMuslim',b'',b'\\u091d\\u0941\\u0915\\u0947\\u0902\\u0917\\u0947 \\u0924\\u094b \\u0938\\u093f\\u0930\\u094d\\u092b \\u0905\\u0932\\u094d\\u0932\\u093e\\u0939 \\u0915\\u0947 \\u0906\\u0917\\u0947 \\u0964',b'30',b'75',b'0',b'474',b'67',b'False',b'False',b'True',b'False',b'2019-12-16 12:58:03'
b'The game of blood and bones in Delhi will heavy outweighs upon all of us.\\n#Delhi #DelhiPolice #DelhiViolence #DelhiBurning',b'1232033999335280640',b'Abdul Jalil',b'rezwanJr',"b'Silchar, India'","b""Self-employed, Social Activist, Humanitarian. She was the silent song of a rainy season. Let's make the world better. \\u099c\\u09af\\u09bc \\u0986\\u0987 \\u0985\\u09b8\\u09ae.""",b'76',b'471',b'1',b'1357',b'6340',b'False',b'False',b'True',b'False',b'2012-07-09 17:54:31'
b'Shame on you delhi police  #DelhiPolice #ArrestKapilMishra #DelhiBurning https://t.co/dailTOXeAj',b'1232033994692321280',b'sikander',b'sikander001',b'dubai',b'sikander.latif@gmail.com',b'63',b'96',b'0',b'2408',b'51',b'False',b'False',b'True',b'False',b'2010-07-06 06:24:03'
b'sad but truth  \\n#DelhiBurning \\n#DelhiPolice https://t.co/9EZqOKYStq https://t.co/iHrpcYSk3C',b'1232033984537862144',b'pubG gamer \\U0001f3ae',b'AmirAbb896055',b'India',b'BLoGgeR \\u270d\\n\\n  \\U0001f607FuLlTIme Flirt PArt tiMe LovER\\U0001f609\\U0001f44d',b'37',b'414',b'0',b'833',b'557',b'False',b'False',b'False',b'False',b'2014-04-02 05:31:05'
"b'Why Godi Media Not Show Like This video, \\n#AmitShahResign\\n#DelhiPolice\\n#DelhiBurning https://t.co/Mp7CIqZCdh'",b'1232033984374284293',b'S.Ahmad',b'SAhmad27946119',b'Qatar',b'Rf Engineer.',b'5',b'23',b'0',b'68',b'114',b'False',b'False',b'True',b'False',b'2019-08-27 19:39:00'
b'\\u06a9\\u0648\\u0626\\u06cc \\u0628\\u06cc\\u0627\\u0646 \\u062f\\u0648\\u06d4\\u06d4\\u06d4\\u06d4\\n\\n#DelhiViolence \\n#DelhiBurning \\n#DelhiPolice \\n#TrumpIndiaVisit https://t.co/Tn8pGqA2LT',b'1232033960793956352',b'Sohail Zafar (\\u0633\\u06c1\\u06cc\\u0644 \\u0638\\u0641\\u0631)',b'mszsohail',"b'\\u0627\\u0644\\u0631\\u064a\\u0627\\u0636, \\u0627\\u0644\\u0645\\u0645\\u0644\\u0643\\u0629 \\u0627\\u0644\\u0639\\u0631\\u0628\\u064a\\u0629 \\u0627\\u0644\\u0633\\u0639\\u0648\\u062f'",b'Cost Estimation Engineer | DAR Group https://t.co/MiB8OxkOqw | Dar Al Handasah ( Shair and Partners) Riyadh Saudi Arabia',b'13051',b'12821',b'3',b'36622',b'29872',b'False',b'False',b'False',b'False',b'2010-06-06 17:43:38'
"b'But sentinels of the Constitution, kiss the dark.\\n\\nA communal riot is inevitable because the religious identity of\\u2026 https://t.co/LIu2jxqIAQ'",b'1232033910198063104',b'Samraggi Debroy',b'samraggi_debroy',"b'Mumbai, Pune, Kolkata.'",b'We all are Kings in the Kingdom of our King.\\nHow else would we be able to unite with Him?',b'452',b'340',b'0',b'4047',b'29408',b'False',b'False',b'False',b'False',b'2017-09-26 11:48:15'
