b'\\u201cI\\u2019m not Muslim but fuck the police\\u201d \\U0001f92f cause they don\\u2019t eat pork... ! @PDE_YOUNGNUDY',b'1232094443131559936',b'CARDO \\u24cb',b'RicardoAlan_',b'trap',"b'tx, #txst22'",b'541',b'252',b'4',b'2010',b'4050',b'False',b'False',b'True',b'False',b'2014-02-21 15:31:24'
"b'this girl in my mock trial team was talking to this guy n he said he was muslim then she\'s ""wait ur muslim i though\\u2026 https://t.co/nUP89yDMPf'",b'1232091281553145856',b'khadijah\\u2077',b'introgguks',b'\\U0001f1f5\\U0001f1f0 \\U0001f1fa\\U0001f1f8',b'jai asma va nikki sarah caila syeda \\u2661 for @bts_twt [ she / her ]',b'424',b'79',b'27',b'33301',b'94918',b'False',b'False',b'False',b'False',b'2017-06-04 21:35:32'
"b""@2222vj @IlhanMN Lmao so does Omar but y'all are super offended by that \\n\\nIf Ted Cruz had dark skin or an accent or\\u2026 https://t.co/rg82yDIdXY""",b'1232091254155923460',b'Voltaire Slapadelic',b'Slapadelic',b'OAKLAND CALIFORNIA',"b'Leftist, antifascist Hip Hop artist. he/him. BMI. https://t.co/Tvt9lUcjrf - 89/19 out now: https://t.co/15SKbrgN5q - https://t.co/9fYl4zEk8w'",b'1375',b'1212',b'25',b'18678',b'20056',b'False',b'False',b'False',b'False',b'2011-05-25 15:27:59'
"b'@Jane54274547 @AntonyWoods7 @_BrexitTory Indeed I do. However, if one is born here where can you deport them to? Ha\\u2026 https://t.co/qNv1WckZrh'",b'1232091235722158081',b'aneela saleem',b'aneelasaleem15',b'',b'Just someone trying to make it to retirement!!',b'202',b'628',b'0',b'2833',b'1229',b'False',b'False',b'True',b'False',b'2019-05-10 20:53:57'
b'@MPower_Change @lsarsour @VetsAboutFace @ConMijente @BAJItweet @imraansiddiqi @NILC @aaaj_alc @UndocuBlack\\u2026 https://t.co/WKuk10GJ5Y',b'1232091212200448003',b'Portobelo Tondan \\u23f3',b'TondanUpadat',b'',b'',b'1067',b'1102',b'1',b'32785',b'76592',b'False',b'False',b'False',b'False',b'2015-11-12 23:52:47'
b'@kafiradikal gak usah jauh2 bang. coba aja ke borobudur. kalo mau naik ke candi stupa itu pasti disuruh pakai kain\\u2026 https://t.co/8yXtdgWj1X',b'1232091169749782528',b'\\u03c0clstvv',b'nicolasutowo',b'',b'\\u2022| ngenggar enggar penggalih |\\u2022',b'93',b'724',b'1',b'7093',b'1045',b'False',b'False',b'True',b'False',b'2018-09-23 22:56:18'
"b'@doamuslims This is the true democracy in the middle east. Congratulations Europe, USA and the muslim leaders which\\u2026 https://t.co/ebFF8rorHm'",b'1232091165790547968',b'Mahmut Erkan',b'MahmutE54877755',b'',b'',b'4',b'41',b'0',b'553',b'57',b'False',b'True',b'True',b'False',b'2018-04-15 18:40:24'
"b'@KTHopkins so was the life saving surgery in 2016 carried out by non Muslim doctors, nurses, porters, ambulance sta\\u2026 https://t.co/kleARuSlQ1'",b'1232091164477661184',b'kenshortall',b'kenshortall',b'',b'love working with \\U0001f415\\u2019s Prefer Dogs to people most of the time. \\U0001f575\\ufe0f\\u200d\\u2640\\ufe0f\\U0001f46e\\u200d\\u2640\\ufe0fTweets my own',b'183',b'961',b'0',b'6045',b'2395',b'False',b'False',b'True',b'False',b'2009-05-20 19:04:49'
b'@FahmidaDani @narendramodi No they joined hands to destroy Islamic terrorism and the false narrative from a great l\\u2026 https://t.co/X3KMqv9t0e',b'1232091114460585985',b'MMC',b'guttums',b'',b'',b'14',b'119',b'0',b'1745',b'6084',b'False',b'True',b'True',b'False',b'2014-05-08 12:30:28'
b'@Ndhra_a @__lr0M0rl__ @DukeCondet @yettiaka @adiazhari Ini.juga bukan muslim waktu ngunjungi Masjid...karena adabny\\u2026 https://t.co/IuN8IjY0IE',b'1232091098199117824',b'#\\U0001f1ee\\U0001f1e9\\U0001f30f\\U0001f54b#freeUyghur#freePalestine',b'FBU72',"b'Jakarta Capital Region, Indone'",b'Membela yang Haq dan Menentang Kebathilan&Kezholiman...\\U0001f448 #FreePalestine #YerusalemPalestineCapital #SaveMuslimUyghur',b'1398',b'697',b'0',b'35802',b'30246',b'False',b'False',b'True',b'False',b'2018-05-25 07:10:52'
"b'@heycheri @AshutoshIndia7 @narendramodi @POTUS @realDonaldTrump So, your definition of a boss is a leader building\\u2026 https://t.co/8Ua6xvnzmJ'",b'1232091088296534016',b'Mz. Delecto if You\\u2019re Nasty',b'ceecee591',b'deep state ',b'Progressive Independent multiracial person I enjoy long walks on the beach in the Deep State with all 13 angry Democrats Here to support people of the light',b'168',b'289',b'0',b'4503',b'7332',b'False',b'False',b'True',b'False',b'2019-10-21 23:26:41'
b'@narangestan Muslim victoryyyyyyyy aye',b'1232091043581104129',b'Samantha \\u262a\\ufe0f',b'datounn',b'Canada',b'Muslim.',b'3721',b'2346',b'6',b'3036',b'12978',b'False',b'False',b'True',b'False',b'2019-10-20 02:42:07'
b'@the_hindu Delhi Muslim trying to cover this gap',b'1232090995501621248',b'Sanjeev Tripathi',b'snjv_tripathi',b'',b'',b'106',b'61',b'0',b'8186',b'7786',b'False',b'False',b'True',b'False',b'2015-08-30 17:51:02'
b'@100_alpha If im not wrong all the muslim countries specially Arabs betrayed each other to achieve there goals to g\\u2026 https://t.co/pfjQ0E5qUH',b'1232090988086255616',"b""Ra'd""",b'FaisalM75894894',b'',b'',b'72',b'80',b'0',b'4346',b'3622',b'False',b'False',b'True',b'False',b'2019-07-07 21:44:05'
b'The normalisation of anti-Muslim conspiracism is deeply disturbing https://t.co/YpJ6rPmIyv',b'1232090980226080769',b'\\U0001d546\\U0001d55d\\U0001d55d\\U0001d55a\\U0001d556',b'OllieRyanTucker',b'levantinepolitics.wordpress.co',b'CSD MA @WarStudies +Arabic here and there\\n\\n@AFCWimbledon fan',b'313',b'2311',b'4',b'612',b'17080',b'False',b'False',b'True',b'False',b'2012-04-15 14:39:43'
b'@DelhiPolice Terrorists have infiltrated your organization. Making you look like a gang of saffron terrorists in po\\u2026 https://t.co/hF6hRhmifE',b'1232090963830423557',b'Imtiyaz',b'imtiyazpariyani',"b'Brisbane City, Brisbane'",b'Indian/Muslim | *straya mate* | K for khans in Bollywood and K for kohli in cricket | spread love not hate make peace not war | keep lifting',b'60',b'165',b'0',b'6796',b'34996',b'False',b'False',b'True',b'False',b'2011-12-01 11:59:40'
"b""@tedcruz Actually totally expected. She's an enemy of the US, a CAIR/Muslim Bro'hood plant.""",b'1232090956985511937',b'WWGOWGA',b'thumps3343',b'',"b""Sheep No More! Won't Get Fooled Again...""",b'325',b'885',b'2',b'3671',b'1885',b'False',b'False',b'True',b'False',b'2013-06-10 11:16:56'
b'@monipersona @jimmyfallon hahahah he is not.muslim',b'1232090951180595200',b'princessrami99@gmail.com',b'princessrami99',b'',b'If u can learn self control u can master anything',b'10',b'185',b'0',b'88',b'360',b'False',b'False',b'True',b'False',b'2019-02-17 06:16:53'
"b""@PoeticJ59274248 The Muslim tomb that's also a monument to love and marital fidelity?\\n\\nI dunno.  Seems off-brand for Donnie.""",b'1232090950299717632',b'Abel Undercity',b'AbelUndercity',"b'Maine, USA'","b'Former bookmobile librarian, veteran, Whovian from the Dawn of Time. For some reason @sarahwhelmed puts up with me. Him / He.  4919 5078 9967'",b'3656',b'4203',b'131',b'223154',b'3514',b'False',b'False',b'False',b'False',b'2009-07-16 11:55:40'
b'@femme_fae you just attacked 95% of muslim/asian twitter',b'1232090946692669441',b'Aamna',b'aamna_kkhan',"b'Bristow, VA'","b""\\U0001f1f5\\U0001f1f0 17\\nPHS '20, VCU '24\\nfuture psychiatrist, current disappointment""",b'651',b'557',b'1',b'21666',b'38181',b'False',b'False',b'False',b'False',b'2014-01-01 05:34:25'
b'@iheartmindy This shows how absolutely clueless cnn is. I have been to India numerous times and beef is available i\\u2026 https://t.co/QsvMRwIOrE',b'1232090945245634562',b'Sumit Kshatriya',b'sumitak1987',b'',b'',b'111',b'1288',b'0',b'29',b'24',b'False',b'False',b'True',b'False',b'2011-03-15 00:00:51'
b'#DelhiBurning As a Muslim I have always denounced ISIS......\\nBut its very very difficult to find a #Hindu who denou\\u2026 https://t.co/v9hNPVx64Q',b'1232090937171554312',b'Tarik Husain',b'shaistarik',"b'Dubai,UAE'","b""A Chemist,Indian, NRI,Dubai Resident,A Muslim ,that's all for this Life""",b'91',b'496',b'3',b'2355',b'3171',b'False',b'False',b'False',b'False',b'2010-02-06 12:06:36'
b'There is riots going on in my colony between Hindu and Muslim and it\\u2019s been whole night and tomorrow we have weddin\\u2026 https://t.co/pTbwnDSq78',b'1232090875523518464',b'Aarav kaushal',b'Aarav_kaushal',b'new delhi',b'',b'11',b'76',b'0',b'807',b'1823',b'False',b'False',b'True',b'False',b'2014-07-13 14:09:23'
b'More than a lil odd you troll one of the only female Muslim representatives instead of working on your state. Racis\\u2026 https://t.co/zsgkigqpeI',b'1232090874881789953',b'\\U0001f30aWalt Wolfgang\\U0001f30a',b'WolfgangWalt',b'West coast',b'Born in Humboldt\\U0001f332\\U0001f463\\U0001f341\\U0001f60e\\U0001f32c. Love the outdoors and all animals. Blue wave 2020. No more endless wars. Our country is corporate owned.',b'756',b'1471',b'0',b'7422',b'22765',b'False',b'False',b'True',b'False',b'2019-10-31 16:01:37'
"b'Ini manusia yg msh punya hati&amp; akal yg waras,tdk perlu menjadi muslim utk membela kebenaran &amp; kemanusiaan https://t.co/uatlrzFwvV'",b'1232090863188054016',b'Mirae',b'Mirae62981454',b'',"b""innallaha ma'ash sobirin""",b'400',b'432',b'0',b'3412',b'15690',b'False',b'False',b'True',b'False',b'2019-12-17 11:55:00'
"b'Wanita dinikahi krn 4 hal, krn harta kekayaannya, kedudukannya, kecantikannya &amp; krn agamanya. Hendaknya pilihlah hal agamanya.(HR.Muslim)'",b'1232090855466385408',b'Ardika Darwis',b'ardikadarwis',"b'Makassar, Indonesia'","b'Sejatinya tulisan ini untuk menasehati diriku sendiri, bukan untuk menggurui siapapun-'",b'5596',b'19',b'4',b'141023',b'1',b'False',b'False',b'False',b'False',b'2012-01-23 15:23:08'
b'That anti-Semitic Islamic Terrorist transvestite needs to be indicted for her support of the Muslim Brotherhood and\\u2026 https://t.co/c2Nw30Ayu2',b'1232090846717206528',b'\\U0001f1fa\\U0001f1f8 \\U0001d599\\U0001d58a\\U0001d597\\U0001d597\\U0001d58e\\U0001d597\\U0001d594\\U0001d587\\U0001d58e\\U0001d593 \\U0001f1fa\\U0001f1f8',b'terrirobin',b'',b'',b'1912',b'2003',b'26',b'27184',b'29032',b'False',b'False',b'False',b'False',b'2008-08-22 15:55:46'
"b'@t_d_h_nair PM Modi is Asia\\u2019s Hitler, he will destroy India like Hitler destroyed Germany. A new Muslim state will\\u2026 https://t.co/tjN7q8RIMk'",b'1232090784549216261',b'W.M.ASLAM (Author/Artist)',b'WMASLAM63323693',"b'England, United Kingdom'","b""Author of 'Toby Glass and the Terracotta Army' & 'Scott McNally's Mystery'. Available in print @ amazon, ebook on Kindle - just click the link : )""",b'7579',b'8285',b'219',b'39724',b'117073',b'False',b'False',b'False',b'False',b'2014-01-03 10:00:35'
b'@lloyd4man No one yet has been able to explain to me why an entire culture has been so vilified.  I have tried to d\\u2026 https://t.co/rtlUixwXm1',b'1232090783144120327',b'fudanshi',b'fudanshi15',"b'Earth, third rock from the Sun.'",b'The way to fight Circumcision is to sue.  Visit https://t.co/nEfxpO7UIM',b'1529',b'3761',b'7',b'33190',b'15235',b'False',b'False',b'True',b'False',b'2018-09-10 05:47:07'
b'@eggfucker17 @ChrisAn11688983 @IlhanMN Never did I say muslim bad either. Again.  You dont bite the hand that feeds\\u2026 https://t.co/miKpYhAtpb',b'1232090728169238528',b'TheDutchess\\U0001f1fa\\U0001f1f8',b'dutchessvonk',"b'San Diego, CA'","b'Mom of 2, Biz Owner, Conservative. I \\u2764\\ufe0f God, Country, Family, Military.  Stay grounded in values. Politicians have the power, find the truth on your own...'",b'2092',b'4421',b'6',b'4223',b'4555',b'False',b'False',b'True',b'False',b'2014-08-17 05:47:49'
b'#Solidarty #ArrestTerroristKapilMishra #ArrestKapilMishra This is not a Riot.\\nThis is State Sponsored Terror!sm.\\nMu\\u2026 https://t.co/LPI7GNqLBq',b'1232090714885980161',b'rmk',b'rimshadmk',b'India',b'',b'44',b'453',b'1',b'1724',b'1068',b'False',b'False',b'False',b'False',b'2008-12-30 12:32:59'
b'@abutopi I do fear Allah and have no actions to hide? So why don\\u2019t you fear Allah and are destroying Muslim servers\\u2026 https://t.co/H55n651K0n',b'1232090703666335746',b'Wake up',b'enigmaoftruth1',b'Creation',b'Question your existence',b'601',b'85',b'2',b'745',b'632',b'False',b'False',b'True',b'False',b'2018-11-22 21:19:34'
b'Muslim_Terror https://t.co/0gNQX5zI18',b'1232090700109557760',b'Pratap Vikram',b'Vikraghuvanshi',b'',"b'Social Entrepreneur, Faculty at The Art of Living,\\r\\nWant to add some values to this world before I say Good Bye'",b'734',b'405',b'5',b'725',b'162',b'False',b'False',b'False',b'False',b'2009-12-21 11:21:56'
b'@AhmadMansour__ k\\xf6nnen oder einfach nur zu falschen Zeit am falschen Ort sind. Ob das oder die Opfer Muslim(e) oder\\u2026 https://t.co/lZYfePglG6',b'1232090696439431168',b'Ruben van Halen',b'HalenRuben',b'',b'',b'18',b'241',b'2',b'1243',b'445',b'False',b'False',b'True',b'False',b'2019-12-18 21:55:32'
b'@kazmc39 @tyrannywatch 95% will be Muslim and Pakistanis.',b'1232090692559810560',b'parsurama',b'parsurama4',b'',b'',b'237',b'627',b'0',b'5766',b'4848',b'False',b'False',b'True',b'False',b'2019-09-20 18:02:41'
"b'@PepsiAunty @msisodia @ArjunJoshi_ It is ok :)\\n\\nIn our last exchange, you had argued that CAA is for religiously pe\\u2026 https://t.co/czCJVPPhGk'",b'1232090683059691520',b'unknown wanderer',b'insidebajwa',b'',b'',b'67',b'237',b'0',b'1198',b'33578',b'False',b'False',b'True',b'False',b'2009-06-30 10:34:49'
b'@sakshijoshii @DelhiPolice Delhi police will arrest Muslim goons within hours and they will not arrest hindu goons.\\u2026 https://t.co/4cGWhbMLW7',b'1232090666525757441',b'Indian',b'Indian52745217',b'',b'Indian national congress supporter',b'61',b'471',b'0',b'7497',b'1460',b'False',b'False',b'True',b'False',b'2019-06-11 19:58:02'
b'@SatyaSa73267560 @KapilMishra_IND Jis Muslim ne kaha tha kuch din pehale Hindu Muslim par vo bhi BJP se linked hai.\\u2026 https://t.co/ju9BHRV1aj',b'1232090656010461186',b'Jaspal Singh Deora',b'jaspal_deora',b'Dream Land',b'Dreamer.. Achiever.. #RAJPUT',b'87',b'942',b'1',b'1422',b'1511',b'False',b'False',b'False',b'False',b'2014-01-22 16:31:54'
"b'if non muslim, would you consider converting to Islam?\\n\\nif you vote yes pls dm me'",b'1232090651963117571',b'khan\\U0001f9ca',b'asaddkn',b'ldn',b'\\u067e\\u0634\\u062a\\u0648\\u0646',b'877',b'708',b'4',b'10299',b'28552',b'False',b'False',b'True',b'False',b'2016-07-08 18:38:39'
"b""@Nancywaddell18 I think it's adding to my anxiety. So many ghastly news of the Indian Hindu - Muslim conflicts.""",b'1232090637920620544',b'iMuslimWriter',b'HafsaKamal123',b'Bora bora',"b""26 | she/her | Writer | I'm nice\\n\\n#Writercommunity\\n#Muslimah\\n#opinionated\\n\\n\\U0001f6ab DM\\nI Follow Back.""",b'355',b'342',b'1',b'3702',b'3698',b'False',b'False',b'True',b'False',b'2014-12-03 13:52:09'
b'@MzPoliTweetz @Fla_Mom @DeAngelisCorey @JenVanderputten @Bethany11588401 @AustenErblat @AMarranara @SunSentinel Not\\u2026 https://t.co/TvYec47Can',b'1232090633218727936',b'Scott Travis',b'smtravis',"b'Deerfield Beach, FL'",b'Sr. journalist for @SunSentinel. I cover @browardschools. Part of 2019 #Pulitzer-winning investigative team. DM open to all. PGP: https://t.co/AscmOnylX2',b'5446',b'1272',b'152',b'12634',b'1501',b'True',b'False',b'True',b'False',b'2008-09-18 19:33:12'
"b'Christian 31.4%, Muslim 23.2%, Hindu 15%, Buddhist 7.1%, folk religions 5.9%, Jewish 0.2%, other 0.8%, unaffiliated\\u2026 https://t.co/sBEEfrKWWt'",b'1232090630584766464',b'Francisco Mendes\\U0001f3f3\\ufe0f\\u200d\\U0001f308\\U0001f3f4\\U0001f1fb\\U0001f1f3\\U0001f1f5\\U0001f1f8',b'metalogis',"b'55.75924580359442, 37.61968645'",b'\\u262d\\U0001f981francisco mendes: \\xabresistir; revidar\\xbb \\U0001f3f3\\ufe0f\\u200d\\U0001f308\\U0001f1e8\\U0001f1fa\\U0001f1fb\\U0001f1f3\\U0001f1f5\\U0001f1f8\\U0001f3f4 #mariellepresente https://t.co/YRISGoHI6E \\U0001f418',b'687',b'1409',b'49',b'66732',b'20375',b'False',b'False',b'False',b'False',b'2009-02-01 23:54:07'
"b""@BDUTT If it's Muslim, Generalisation.\\nIf it's hindu,  taking name nd blaming religion.\\nHypocrisy level at it's best\\U0001f910""",b'1232090624087642112',b'#\\u0c28\\u0c41\\u0c35\\u0c41\\u0c17\\u0c2e\\u0c28\\u0c3f\\u0c02\\u0c1a\\u0c28\\u0c3f\\u0c28\\u0c47\\u0c28\\u0c41',b'iazvenky',b'Hyderabad',b'#sachinist #rohitian #pullshot #GouthaMgambhir #ramcharan.A Telugitie nd can understand #Kannada #Tamizh',b'106',b'745',b'0',b'4796',b'10691',b'False',b'False',b'True',b'False',b'2013-11-09 04:28:02'
"b""@librarythingtim I think it's safe to say that the overall project's motives align with the book's, which is just t\\u2026 https://t.co/jzqdTbJ4IS""",b'1232090583218475008',b'Jessica Routhier',b'JSRouthier',b'Southern Maine',"b'Editor and arts writer. Managing editor, #JournalPanorama. Contributor, @thebeeantiques. Views are my own. Democracy is not Fandom. Votes for Women. \\U0001f351'",b'224',b'300',b'12',b'1383',b'1475',b'False',b'False',b'False',b'False',b'2012-03-30 17:29:55'
"b'COMPETITION No. 4\\n\\nYou know the often very funny headlines on https://t.co/CClQYTcKZc?\\n\\ne.g, POOF PERVPRIEST SAYS P\\u2026 https://t.co/GzGTXLBUXF'",b'1232090570291654658',b'The Great Stalin',b'BenedictCarter6',b'Eastern Europe',"b""English Catholic. SSPX, cricket, rugby, Sacred Music, history. Loathe Modernism, Bergloids.\\n\\nSedes, papolators- be warned. Any nonsense, you're blocked.""",b'1387',b'2112',b'6',b'1717',b'7641',b'False',b'False',b'True',b'False',b'2019-11-26 14:32:06'
"b'CAIR conspired with other affiliates of the Muslim Brotherhood to support terrorists,"" said assistant U.S. Attorney\\u2026 https://t.co/IgkUEbNrVq'",b'1232090537865416704',b'Jack Peterson (K)',b'arnoldpeterso13',"b'Idaho, USA'",b'Retired Director:  Alcoholism & Drug Addiction Treatment:',b'20602',b'19286',b'11',b'99368',b'108849',b'False',b'False',b'True',b'False',b'2016-12-06 16:10:22'
"b'In 2014, the United Arab Emirates designated CAIR as a terrorist organization. CAIR was founded by three leaders of\\u2026 https://t.co/49LjiUlFE7'",b'1232090528172462082',b'Jack Peterson (K)',b'arnoldpeterso13',"b'Idaho, USA'",b'Retired Director:  Alcoholism & Drug Addiction Treatment:',b'20602',b'19286',b'11',b'99368',b'108849',b'False',b'False',b'True',b'False',b'2016-12-06 16:10:22'
b'@RattlerGator Complex factors is right. Imagine the tensions created with Israeli troops in muslim countries?',b'1232090524775059456',b'Jim Norred',b'Nlmrod',b'',b'',b'11',b'25',b'1',b'2018',b'1772',b'False',b'False',b'True',b'False',b'2009-07-24 17:54:24'
"b'@yettiaka Jgn ngada2 donk, ada bukti ga sih?\\nGw sering ke sana tp ga pernah sekalipun jumpain kasus begitu. Banyak\\u2026 https://t.co/yXBdgCoYkC'",b'1232090511508246528',b'Muhammad Farizh ',b'Farizhwahab',b'',b'',b'13',b'12',b'0',b'400',b'1943',b'False',b'True',b'True',b'False',b'2012-12-11 02:44:38'
b'@wdunlap @tedcruz @Jaysock2 I can name several predominantly Muslim countries that have a Christian population and\\u2026 https://t.co/zL1b38xB0v',b'1232090510090698754',b'Andrea Luna',b'andrea_luna_96',b'',b'',b'79',b'320',b'0',b'367',b'12708',b'False',b'False',b'True',b'False',b'2020-01-03 21:43:22'
"b""Seseorang masuk surga bukan karena amalnya tetapi karena rahmat Allah Ta'ala. Karena itu bertindaklah yang lurus. (HR.Muslim)""",b'1232090498166247424',b'#PecintaAnakYatim',b'PcintaAnakYatim',b'Jakarta',b'BNI 0272481794 | MANDIRI 1180022288996 | BCA 380400888 an @PcintaAnakYatim  #BuatMerekaTersenyum\\nYoutube : Pecinta Anak Yatim',b'37603',b'2914',b'74',b'137564',b'313',b'False',b'False',b'False',b'False',b'2009-08-20 04:14:07'
"b'Ditegur dimasjid dijadiin konten sama kek waktu itu, cerita halu syusah nyari kos-kosan non muslim di bandung'",b'1232090490889101312',b'ndra',b'ndraperkasa',b'indonesia',"b'tukang molor, tereleng kesana tereleng kesini,'",b'446',b'1803',b'2',b'28208',b'2916',b'False',b'False',b'False',b'False',b'2011-06-25 12:48:26'
"b""Ayasofya hasn't been a church for 570 years. It was THE beloved mosque of Ottoman Istanbul\\u2014above the Blue Mosque an\\u2026 https://t.co/TvnDUAgGDr""",b'1232090487017725953',b'Tim Spalding',b'librarythingtim',"b'Portland, Maine'","b'@LibraryThing founder. Father, hacker, bibliophile, ex-classicist, Catholic. I tweet books, libraries, technology and culture. Married to @LisaCareyWrites.'",b'16411',b'2630',b'1542',b'58482',b'29562',b'False',b'False',b'False',b'False',b'2007-05-10 02:15:45'
"b'@sandymridul Duffer, look at your Muslim brothers https://t.co/PvkIhanwZp'",b'1232090447939428355',b'Antevasin\\U0001f1ee\\U0001f1f3',b'Antevasin10',b'Mountain with cloud ',b'Staunch Nationalist. Indian. Brand Strategic Planner. Love Canopies & Melancholy. Base level Sole Trekker. Practice Yoga.',b'3334',b'2612',b'26',b'31438',b'80160',b'False',b'False',b'False',b'False',b'2009-04-08 08:58:54'
"b""@nikhengr @YRDeshmukh Don't believe that for a minute, sickularism is a bogeyman for both Hindus and Muslim - The r\\u2026 https://t.co/LoH7SkDqmW""",b'1232090440687468544',b'JustoneK7\\u2122',b'JustoneK7',"b'Black Earth, WI'",b'Kafirs of the world unite against Radical Islamic Terrorism !!',b'627',b'2769',b'29',b'49141',b'64587',b'False',b'False',b'False',b'False',b'2014-01-10 03:47:04'
b'@EvanSaksik @YigitKarahan69 @PiloteArctique Rbeu c\\u2019est arabe musulmans c\\u2019est la religion tu ne va pas dire \\xe0 un am\\xe9\\u2026 https://t.co/xPse0omDMP',b'1232090405535191040',b'Madame-packM\\U0001f90d',b'melissaa7891',b'',b'\\xabBenim i\\xe7in \\xf6lmekten korkmayan ama elimi tutmaktan korkan bir adam\\u0131 sevece\\u011fim \\xf6mr\\xfcm boyunca.\\xbb \\U0001f1eb\\U0001f1f7 \\U0001f1f9\\U0001f1f7 (16ans) T\\xfcrkiye\\u2019nin sevdas\\u0131\\U0001f90d',b'1200',b'1752',b'1',b'8910',b'17488',b'False',b'False',b'True',b'False',b'2019-07-28 13:38:29'
b'@Kritika_Kamra If some one comes in protest of protestors how can they be anti Muslim......but han y baat aur h ki\\u2026 https://t.co/Bk8VRW0k9z',b'1232090386845143041',b'Pakya bhai1980',b'pakyabhai1980',"b'Ichalkaranji (Hatkalangda), In'","b""I am just a common man in some one's life.... Nothing spcl abt me""",b'692',b'5003',b'0',b'16206',b'29554',b'False',b'False',b'True',b'False',b'2017-02-09 15:30:55'
b'Germany: Muslim migrant with four aliases admits sexual abuse of 11-year-old girl https://t.co/rrQQqE23NE',b'1232090383083065348',b'ChristineCarpender\\u274c\\u274c #BoomerRube',b'Christi77929362',b'So\\U0001f60aFBCharlesVPayne&Roseanne\\U0001f339',"b""Freedom's never more than 1 generation away from extinction.We didn't pass it 2our children in the bloodstream-It must B fought4, protected&handed on 2them\\U0001f1fa\\U0001f1f8""",b'6912',b'7600',b'8',b'145550',b'109326',b'False',b'False',b'True',b'False',b'2017-01-30 01:15:09'
"b'If a Muslim is invited to a marriage ceremony or wedding celebration, they should accept the invitation unless it m\\u2026 https://t.co/SOY73Up9ES'",b'1232090379647963137',b'EL MO',b'msswb77',b'',b'(\\u2026\\u0633\\u0628\\u062d\\u0627\\u0646 \\u0627\\u0644\\u0644\\u0647 \\u0648\\u0628\\u062d\\u0645\\u062f\\u0647 \\u0633\\u0628\\u062d\\u0627\\u0646 \\u0627\\u0644\\u0644\\u0647 )',b'324',b'484',b'5',b'5117',b'86',b'False',b'False',b'True',b'False',b'2012-01-12 21:47:06'
b'A Muslim should demonstrate to all people the goodness of Islam with his/her gentle manners and behavior even if th\\u2026 https://t.co/usdd5GJ8Qh',b'1232090375839535104',b'\\u0648\\u0627\\u0630\\u0643\\u0631 \\u0631\\u0628\\u0643 \\u0625\\u0630\\u0627 \\u0646\\u0633\\u064a\\u062a\\u2661',b'A4kar_61',b'',b'\\u0648\\u0627\\u0644\\u0630\\u0627\\u0643\\u0631\\u064a\\u0646 \\u0627\\u0644\\u0644\\u0647 \\u0643\\u062b\\u064a\\u0631\\u0627\\u064b \\u0648\\u0627\\u0644\\u0630\\u0627\\u0643\\u0631\\u0627\\u062a \\u0623\\u0639\\u062f\\u0651 \\u0627\\u0644\\u0644\\u0647 \\u0644\\u0647\\u0645 \\u0645\\u063a\\u0641\\u0631\\u0629 \\u0648\\u0623\\u062c\\u0631\\u0627\\u064b \\u0639\\u0638\\u064a\\u0645\\u0627\\u064b instagram : a4kar_61\\n#\\u0631\\u064a\\u0645_\\u0627\\u0644\\u062d\\u0645\\u064a\\u062f \\u0644\\u0627 \\u062a\\u0646\\u0633\\u0648\\u0647\\u0627 \\u0645\\u0646 \\u062f\\u0639\\u0648\\u0627\\u062a\\u0643\\u0645 .. \\u0627\\u0644\\u0644\\u0647\\u0645 \\u0639\\u0648\\u0636 \\u0634\\u0628\\u0627\\u0628\\u0647\\u0627 \\u0628\\u0627\\u0644\\u062c\\u0646\\u0647..',b'1533',b'57',b'5',b'17516',b'239',b'False',b'False',b'True',b'False',b'2013-04-28 18:57:43'
b'@cjwerleman Are these all Muslim homes? This is like hell.',b'1232090365521428481',b'(\\u3063\\u25d4\\u25e1\\u25d4)\\u3063 \\u2665 \\U0001d440\\U0001d4b6rymo Belfast \\u2665\\U0001f331\\U0001f340 \\u24cb',b'MarymoBelfast',b'Ireland',b'',b'11614',b'11630',b'140',b'179950',b'97190',b'False',b'False',b'False',b'False',b'2013-01-30 10:15:53'
