b'\\u0915\\u092a\\u0921\\u093c\\u094b\\u0902 \\u0938\\u0947 \\u0928\\u0939\\u0940\\u0902 \\u092a\\u0939\\u091a\\u093e\\u0928 \\u0938\\u0915\\u0924\\u0947\\n\\u0928\\u093e\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092a\\u0939\\u091a\\u093e\\u0928\\u094b\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0906\\u0917 \\u0932\\u0917\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u094b \\U0001f621\\U0001f621  @ShayarImran #DelhiBurning https://t.co/iKtrAoll8J',b'1232131062332973056',b'SHAIKH MERAZ UDDIN',b'OfficialMeraz',"b'Kunda, India'",b'student',b'115',b'197',b'0',b'348',b'2329',b'False',b'False',b'True',b'False',b'2017-06-18 23:28:57'
b'\\U0001f195 Some more new pics from India \\u2764\\ufe0f\\U0001f1fa\\U0001f1f8\\U0001f1ee\\U0001f1f3\\n#ivankatrump #ivanka #trump #firstdaughter #jaredkushner #donaldtrump\\u2026 https://t.co/AlAYebOXc0',b'1232096982178697217',b'Ivanka Trump Pictures',b'IvankaTrumpPix',b'',b'***** Ivanka Trump Fan Page ***** Inspiration \\U0001f4af Role Model \\U0001f451 Future President \\U0001f1fa\\U0001f1f8 And Real Life Angel \\u2764\\ufe0f',b'45',b'28',b'0',b'790',b'3',b'False',b'False',b'True',b'False',b'2017-12-15 05:42:46'
"b""India did lot's of beautification for #TrumpIndiaVisit but what after the show is done. I found US FLAG on road tea\\u2026 https://t.co/nYwp4Lsrv6""",b'1232092907827585024',b'nikhil \\u0924\\u093f\\u0935\\u093e\\u0930\\u0940',b'Nikhil49418548',"b'New Delhi, India'",b'',b'23',b'38',b'0',b'93',b'245',b'False',b'False',b'True',b'False',b'2018-08-15 17:27:21'
"b""PM @narendramodi begins his speech with #NamasteTrump' slogans at Motera stadium\\n@USAndIndia @IndianEmbassyUS\\u2026 https://t.co/qf80TTz8sj""",b'1232092846347427844',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
b'@CamiLee13 @OReasonStands @BCOOL333 @AdamCC75 @ConnieG1025 @Yes_We_Can_44_ @Costavjw @BarGaetz @4uzar @illblue2\\u2026 https://t.co/nDgb65HYBL',b'1232090265671761920',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1302',b'2177',b'0',b'443',b'811',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
b'Imagine using portrait mode when the background is the freaking Taj Mahal. #TajMahal #IvankaTrump #India https://t.co/bAxF36muTv',b'1232089804789121024',b'Kevin Larkin',b'BeeLives_Matter',"b'Boynton Beach, FL'","b'Woke but tired. Full yet hungry. Addict in recovery, ex-con who turned his life around, proud snowflake #BernieSanders2020 #resist TikTok: bees_lives_matter'",b'54',b'184',b'0',b'499',b'4759',b'False',b'False',b'True',b'False',b'2019-10-07 02:37:29'
"b'Even after long journey, Prez @realDonaldTrump went to Sabarmati Ashram before coming here: PM Modi\\n@USAndIndia\\u2026 https://t.co/WP7Hsjakju'",b'1232085296612667394',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
"b'@MysterySolvent Too much make up, is the red blood \\U0001fa78?? #IvankaTrump'",b'1232085068228722689',b'Rogue Wave',b'BillGallagher20',"b'Boston, MA'","b'have not seen it all\\U0001f6b4\\U0001f3fb\\u200d\\u2640\\ufe0f Day Trader NASDAQ exchange\\U0001f939\\u200d\\u2642\\ufe0fDowneaster Boating\\U0001f30aCoast Guard AUX \\U0001f325 citizen marine scientist \\U0001f30eArt, Nature, Travel and Music = Joy'",b'643',b'1428',b'2',b'14218',b'6908',b'False',b'False',b'True',b'False',b'2015-12-20 18:37:42'
"b'If the @GOP don\\u2019t like something, they call it socialism/communism. It scares people away, which qualifies to be fa\\u2026 https://t.co/KX3Gi93NwN'",b'1232084670386450432',b'Rogue Wave',b'BillGallagher20',"b'Boston, MA'","b'have not seen it all\\U0001f6b4\\U0001f3fb\\u200d\\u2640\\ufe0f Day Trader NASDAQ exchange\\U0001f939\\u200d\\u2642\\ufe0fDowneaster Boating\\U0001f30aCoast Guard AUX \\U0001f325 citizen marine scientist \\U0001f30eArt, Nature, Travel and Music = Joy'",b'643',b'1428',b'2',b'14218',b'6908',b'False',b'False',b'True',b'False',b'2015-12-20 18:37:42'
b'Thank you for your spectacular welcome: President @realDonaldTrump at #NamasteTrump\\n@USAndIndia @IndianEmbassyUS\\u2026 https://t.co/7gwMomIveg',b'1232081520984150016',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
b'Are there really people who see this and think \\u2018white supremacy?\\u2019  #IvankaTrump https://t.co/AMHeQUHdXz',b'1232074834412216323',"b""but wait! there's more!""",b'Pat_Lewis360',b'DC',"b'Commenter on many things, master of none. Always #StillWithHer and proud member of #Khive.'",b'1902',b'4620',b'18',b'20465',b'8522',b'False',b'False',b'False',b'False',b'2012-02-10 17:19:27'
b'@thehill @IvankaTrump #IvankaTrump https://t.co/4v98ModVD9',b'1232072118667489282',b'\\u2b50\\ufe0f\\u2b50\\ufe0fTrump2020\\u2b50\\ufe0f\\u2b50\\ufe0f',b'LMSNCUS',"b'North Carolina, USA'",b'\\u271d\\ufe0f#JesusIsLord $goodvibes103 \\U0001f1fa\\U0001f1f8#KAG #Trump2020 #ProLife \\U0001f47c\\U0001f3fc#2A \\U0001f52b #KAG https://t.co/0pRpmJzn3K',b'4010',b'5000',b'49',b'26207',b'29929',b'False',b'False',b'False',b'False',b'2016-10-04 04:22:36'
b'PM @narendramodi welcomes US President @realDonaldTrump with warm hug as crowd roars in cheer at Motera\\n@USAndIndia\\u2026 https://t.co/V3J8urGPdX',b'1232070197080518656',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
b'I think #IvankaTrump is more beautiful than #TajMahal \\nlook at your #smile\\n#your Hair and.... \\n\\U0001f60d\\U0001f618\\n@IvankaTrump https://t.co/TcHrfeJBSM',b'1232070099680448512',b'Nida khan (India_First)',b'Nidais4Love',b'Heart Lake ',b'#Love #Love #Love and #Love My self and you... #Follow me For #Fun #muslim or #hindu i am #confused',b'3380',b'2288',b'1',b'13240',b'3196',b'False',b'False',b'True',b'False',b'2019-03-09 14:51:47'
"b'@MysterySolvent #TrumpCrimeSyndicate \\n#IvankaTrump \\n\\nRegardless of the date of this picture, I have lost my sense o\\u2026 https://t.co/EmAgDqVE3Y'",b'1232068022216474624',b'Becky Spooner',b'BeckySpooner1',"b'Tempe, AZ & Door County, WI'","b'\\u262e\\ufe0f\\U0001f3bcBAN Assault Weapons, ERA NOW, LOATHE Trump, #BlueWave, #Resist #Impeach, Climate Change is real. PROTECT NATO, Twin, Bibliophile (except sci fi & fantasy)'",b'1447',b'1148',b'8',b'9133',b'11480',b'False',b'False',b'True',b'False',b'2012-10-23 20:26:05'
"b'PM @narendramodi, US President @realDonaldTrump as National Anthem gets played at Motera\\n\\n@USAndIndia\\u2026 https://t.co/fezoaSoK0n'",b'1232062647752781827',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
b'@heavysilver @smc429 Perfect description of her \\u26a1\\U0001f44f\\U0001f44f #IvankaTrump is a #Traitor',b'1232057703976947712',b'Jo Mama \\U0001f30a\\u2640 Warren2020 \\U0001f5fdThe Future is Female!',b'roschnik1',b'RockyMtns baby! 420 #Craftbeer',"b""Cat mama to Peaches & DeeDee. #GenX. Chocoholic. What's the difference btw ignorance & apathy? I d k & I don't care. Question Authority! #Prince4Ever. \\U0001f49c""",b'291',b'639',b'0',b'2154',b'24558',b'False',b'False',b'True',b'False',b'2015-01-29 01:44:19'
"b'Aha! He heard 7 million Indians were coming to #Ahmedabad To meet him so he went and took #IvankaTrump with, with a\\u2026 https://t.co/HMyuNvR03V'",b'1232055533038862341',b'#FreePalestine \\U0001f1f5\\U0001f1f8 #FreeKashmir #WeAreShaheenBagh',b'JeSuis4Peace',b'Activist\\u2192RESISTANCE IS DUTY\\u2190',b'Jhb SA but Heart Resides In #Gaza\\u2661#Islam\\u25cf\\u25cbStop #Israeli #Genocide #BDS\\u25cb\\u25cfAttorney\\u25cf\\u25cb also\\nhelping #Startups\\u25cfMy Dream: 2 House All The Street Kids\\u2665Muslimah\\u2665',b'1655',b'2298',b'54',b'36478',b'24841',b'False',b'False',b'False',b'False',b'2015-05-09 18:50:39'
b'President @realDonaldTrump reaches Motera Stadium for #NamasteTrump event.\\n\\n@USAndIndia @IndianEmbassyUS\\u2026 https://t.co/WhbZUTAaCs',b'1232055097187799040',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
"b""#Trump  #painpatientsvote  #DonaldTrump  #IvankaTrump President Trump's Campaign https://t.co/U9ABmrb9uX via @PithyPins""",b'1232053453406507008',b'faye dollar',b'faye_dollar',"b'Pennsylvania, USA'","b""let the truth be told. CRPS sufferer and advocate. Energy worker, I've been in the 4th dimension. Proud Patriot""",b'309',b'445',b'4',b'3094',b'8213',b'False',b'False',b'True',b'False',b'2014-09-03 10:16:11'
b'@bennyjohnson @BernieSanders Happy white collar criminals monitoring Trump properties in India at taxpayer expense.\\u2026 https://t.co/DDYq1bEXVi',b'1232050055286161409',b'Scott Spencer',b'bullriders1',"b'Balboa Peninsula, SoCal USA'","b'Momo trading in the vicinity of PIMCO & ROTH Capital Partners Headquarters, Newport Beach'",b'1334',b'66',b'140',b'113130',b'33265',b'False',b'False',b'False',b'False',b'2012-06-08 04:08:31'
b'Horrible scene....\\n\\n#Jafrabad #CAAProtest #Ahmedabad #Bhajanpura #ArvindKejriwal #CAA_NRC_Protests #TrumpInIndia\\u2026 https://t.co/ByPy699JRl',b'1232049686527148032',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'A pleasure 2 welcome #potus #DonaldTrump #Flotus #MelaniaTrump along with #IvankaTrump #JaredKushner\\n2 powerful cou\\u2026 https://t.co/qO2C4SmdsM',b'1232048371269062657',b'GAURI SANKHE',b'Gaurisankhe2',"b'Mumbai, Maharashtra, India'","b'Social Worker,Activist,Speaker,Truthful confidante,daughter,Aunt,Rising Politician,poet, Author,Human.Careful with my\\U0001f49d \\n@GeneralHospital @thelynnherring fan\\n18'",b'918',b'290',b'27',b'9684',b'7184',b'False',b'False',b'False',b'False',b'2014-05-16 02:48:48'
b'@IvankaTrump Did you buy your own ticket? Where are your poor neglected kids? #IvankaTrump',b'1232048344874156032',b'Resist!',b'SDSunchaser',b'United States',"b'Photographer, artist & writer from the Midwest. Lover of nature & wide open spaces. Passionate about my country. #RightMatters #Warren2020 #Resist #FBR \\U0001f30a\\U0001f1fa\\U0001f1f8'",b'5820',b'5932',b'186',b'222623',b'254607',b'False',b'False',b'False',b'False',b'2009-06-09 16:45:51'
b'In Pictures: US President Donald Trump and First Lady Melania Trump first day in India. #TrumpsTourIndia\\u2026 https://t.co/QF1PhaDAL7',b'1232046288843104258',b'www.THEPIGEONEXPRESS.com',b'TPE_connect',b'online',b'The Pigeon Express - Public connection account of the @PigeonExpress_\\n\\n|| News Feed Loop',b'634',b'111',b'5',b'37801',b'4094',b'False',b'False',b'True',b'False',b'2018-10-30 05:54:46'
b'Like volcano erupted in Delhi.\\nRetweet\\n\\n#Ahmedabad #Chandbagh #CoronavirusOutbreak #CAAProtest #Covid_19\\u2026 https://t.co/Rhgdwdvi6G',b'1232043362628202496',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'Are they angry bcoz they were not invited at ahmedabad airport to meet Trump?\\n\\n#Jafrabad #CAAProtest #Ahmedabad\\u2026 https://t.co/tLqBHhi9fj',b'1232042852298846208',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'@P_K1351 @VaronikaVks @IvankaTrump *PICTURE COMPETITION* - Spot the Fake Princess\\n\\n#IvankaTrump #TrumpInIndia\\u2026 https://t.co/6CyZTPpW4U',b'1232042756849094657',b'PeterJDevlin',b'PeeJayDee159',b'U.K.',b'Retired RN. Cannot abide bigotry & abuse of power. Politicians are elected public servants not prima donnas. No DMs please.',b'362',b'745',b'1',b'11672',b'15521',b'False',b'False',b'True',b'False',b'2013-12-12 15:52:10'
b'What the hell is happening....\\nRetweet\\n\\n#Ahmedabad #Chandbagh #CoronavirusOutbreak #CAAProtest #Covid_19\\u2026 https://t.co/iy52Llx42I',b'1232042304338194432',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'@NoWay7790 @ShellyLazoff @IvankaTrump *PICTURE COMPETITION* - Spot the Fake Princess\\n\\n#IvankaTrump #TrumpInIndia\\u2026 https://t.co/xF9BRuPaPk',b'1232042175967498240',b'PeterJDevlin',b'PeeJayDee159',b'U.K.',b'Retired RN. Cannot abide bigotry & abuse of power. Politicians are elected public servants not prima donnas. No DMs please.',b'362',b'745',b'1',b'11672',b'15521',b'False',b'False',b'True',b'False',b'2013-12-12 15:52:10'
"b'@Rschooley If #IvankaTrump catches #COVID19, she should be required to stay quarantined in India for 14-days like everyone else.'",b'1232041838120325120',b'Scott Spencer',b'bullriders1',"b'Balboa Peninsula, SoCal USA'","b'Momo trading in the vicinity of PIMCO & ROTH Capital Partners Headquarters, Newport Beach'",b'1334',b'66',b'140',b'113130',b'33265',b'False',b'False',b'False',b'False',b'2012-06-08 04:08:31'
b'Silahkan join ya say VCsnya subuh ini!!\\nSisa 2 slot aja yang minat cek WA lgsg\\nWA082154914217\\U0001f4f2 No basa basi Ay!\\u2026 https://t.co/KjxxpoaC4X',b'1232041593458151424',b'RestiOlivia',b'RestiOlivia5',b'',b'Wa 082154914217',b'2',b'0',b'0',b'17',b'2',b'False',b'False',b'True',b'False',b'2020-02-19 07:38:59'
"b""Taj Mahal Tombs Cleaned For The First Time In 300 Years, Thanks To President Trump's Visit. Read full report\\u2026 https://t.co/LtsZX3fWlj""",b'1232041501191962624',b'Syed Najaf Ishan\\xae',b'iamsnih',b'India',"b""I've worked too hard and too long to let anything stand in the way of my goals.Follow me \\U0001f449 @twitter @iamsnih \\U0001f600\\U0001f64f""",b'158',b'1',b'1',b'334',b'97',b'False',b'False',b'False',b'False',b'2011-01-18 05:44:34'
b'US President @realDonaldTrump and First Lady Melania Trump arrives in Agra\\n@USAndIndia @IndianEmbassyUS\\u2026 https://t.co/mqVHov2DiD',b'1232039997819281415',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
b'From our blog\\n#FLOTUS #Ivanka #IvankaTrump #MAGA #Facebook #facebookjail\\n\\nhttps://t.co/psXgAXTzA6',b'1232037503244234752',b'Eplex Media',b'EplexM',b'',b'From the ashes....\\n\\nhttps://t.co/52jXA1mGcM\\nhttps://t.co/sqsplw4Gce\\n\\nEveryone is follower #25 lol',b'84',b'143',b'0',b'1146',b'575',b'False',b'False',b'True',b'False',b'2019-09-23 18:00:47'
b'Who\\u2019s paying for this?  #IvankaTrump https://t.co/DPwpSdVPzU',b'1232036791181553664',b'Baglady1974',b'baglady618',b'Flori-duh swamp ',b'Left Tokyo back in early 90\\u2019s after Godzilla attack. Gemini \\u264a\\ufe0f #RightMatters #TruthMatters #resist @LVaddict1974',b'2270',b'3171',b'1',b'25915',b'25349',b'False',b'False',b'False',b'False',b'2009-07-18 02:35:06'
b'When my govt will wakeup\\n\\nRetweet\\n\\n#Ahmedabad #Annaatthe #Bhajanpura  #Chandbagh #CoronavirusOutbreak #China\\u2026 https://t.co/PmsrUAhjRh',b'1232035661172969472',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'\\u2018#MoneyHungry #mannequin\\u2019 #IvankaTrump #BURIED for her #TaxpayerFunded \\u2018field trip\\u2019 to #India w/her CORRUPT POS\\u2026 https://t.co/R8xzsJvxH2',b'1232035171911602176',b'DUMP TRUMP',b'Kegan05',b'NorthWest USA',"b""Political Junkie, Ex-GOP, now Independent, disgusted by Trump Administration and #GOP who covers for him.\\n\\nNo DM's please.""",b'16020',b'15634',b'470',b'445663',b'332333',b'False',b'False',b'False',b'False',b'2009-02-25 19:27:54'
b'#IvankaTrump #TrumpInIndia #Election2020 #WakeUpAmerica #WalkAway \\nWould a racist put the first step together? https://t.co/H8tZgZcSLB',b'1232033685089726469',b'Waverly Wray',b'Waverlywray1',b'NW TEXAS',b'I study humanity as a hobby and can no longer see the difference between enemy action against America and the ruling class elites who own the #DNC and #MSM',b'3286',b'5001',b'22',b'46549',b'90492',b'False',b'False',b'True',b'False',b'2016-04-16 23:43:10'
"b""US President @realDonaldTrump writes in the visitor's book at #TajMahal\\n@USAndIndia @IndianEmbassyUS\\n\\n#TrumpInIndia\\u2026 https://t.co/oJrJCEA5pj""",b'1232032448873140225',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
b'\\u0905\\u092c \\u0906 \\u0939\\u0940 \\u0917\\u0908 \\u0939\\u094b \\u0924\\u094b\\n\\u0939\\u094b\\u0932\\u0940 \\u0916\\u0947\\u0932 \\u0915\\u0947  \\u091c\\u093e\\u0928\\u093e \\U0001f60d\\n#IvankaTrump\\n#NamsteTrump https://t.co/GnRkaran9p',b'1232031804477116417',b'Atharva Raj',b'atharvrajpanday',"b'\\u0935\\u093e\\u0930\\u093e\\u0923\\u0938\\u0940, \\u092d\\u093e\\u0930\\u0924 '","b'll Ministry of Jal Shakti, DoWR,RD,GR ll #\\u0917\\u0902\\u0917\\u093e\\u092a\\u094d\\u0930\\u0939\\u0930\\u0940 ll #NamamiGange ll @ABVPVoice ll #\\u092c\\u093e\\u0932\\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915 ll @RSSorg ll #\\u092c\\u0928\\u093e\\u0930\\u0938\\u0940 ll'",b'2088',b'1387',b'39',b'22947',b'28161',b'False',b'False',b'False',b'False',b'2012-05-25 02:53:47'
b'@KarenAttiah AlwayS For mE #IvankaTrump She is so CutE \\u2764\\ufe0f',b'1232031110235873281',b'Ali_khAnzada \\U0001f1f5\\U0001f1f0',b'AliRana77120698',"b'Islamabad, Pakistan \\U0001f1f5\\U0001f1f0'",b'Student',b'4',b'150',b'0',b'126',b'100',b'False',b'False',b'True',b'False',b'2017-07-01 20:47:43'
"b'#TrumpInIndia | Simple, elegant fashion statement from #MelaniaTrump\\nand #IvankaTrump\\n\\nhttps://t.co/oMS5UpEFke'",b'1232029931149910022',b'Financial Express',b'FinancialXpress',"b'New Delhi, India'","b'The #FinancialExpress - A complete up-to-date source for business news, #finance news, #stockmarket news, #economy & #financial news online. \\n\\u0939\\u093f\\u0902\\u0926\\u0940 \\u092e\\u0947\\u0902 @fehindi'",b'594823',b'44',b'1909',b'343819',b'22',b'True',b'False',b'False',b'False',b'2009-06-24 11:29:19'
"b'@rose_k01 @I30mki @IvankaTrump Ok, nice for #IvankaTrump . But normally there are millions of Tourists there. No change to get such a photo!'",b'1232029231204438016',b'Klaus V\\xf6lker',b'KlauVo',b'Vienna',b'Sapere aude!   -  angewandt!',b'556',b'1445',b'12',b'12651',b'59080',b'False',b'False',b'False',b'False',b'2010-12-30 09:47:17'
b'What the hell is happening....\\nRetweet\\n\\n#Ahmedabad #Annaatthe #Bhajanpura  #Chandbagh #CoronavirusOutbreak #China\\u2026 https://t.co/HbFlOZH2ua',b'1232028225695444992',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'The most amazing voice in the world of singing and music.\\n\\U0001f3b5\\U0001f3bb\\U0001f941\\nhttps://t.co/dMCvSLsyOg\\n\\nFAISAL ALMDARYH | @almdaryh \\n\\n #IvankaTrump',b'1232027605718708225',b'\\u0635\\u0627\\u0644\\u062d\\u0647 \\u0627\\u0644\\u0628\\u0627\\u0631\\u0642\\u064a .',b'sa_be7',b'Abha Saudi Arabia',b'\\u0645\\u0634\\u0631\\u0641\\u0629 \\u062f\\u0639\\u0645 \\u0641\\u064a\\u0635\\u0644 \\u0627\\u0644\\u0645\\u062f\\u0627\\u0631\\u064a\\u0647 \\u2728.',b'13030',b'82',b'44',b'96575',b'491',b'False',b'False',b'True',b'False',b'2013-09-22 18:54:07'
"b""Trump on Ivanka: 'Is It Wrong to Be More Sexually Attracted to Your Own Daughter Than Your Wife?' \\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\U0001f92e\\u2026 https://t.co/ka8RhiWSPo""",b'1232027374633406464',b'\\U0001f198 Stomp Out Stupid \\U0001f6a8 #VoteBlue2020 \\U0001f198',b'Stop_UTK_Now',b'The Internet',"b'#VoteBlue2020 #Resistance #Whistleblower, Veteran, MH Counselor Exposing Crime & Corruption in Higher Ed. #INFJ Eclectic interests. I \\U0001f92c a lot \\U0001f640'",b'13405',b'14212',b'324',b'38108',b'315453',b'False',b'False',b'True',b'False',b'2016-03-05 00:25:56'
b'True love story....\\n#Ahmedabad #Annaatthe #Bhajanpura  #Chandbagh #CoronavirusOutbreak #China #CAAProtest #Covid_19\\u2026 https://t.co/hgVCGFbVvt',b'1232025148846309376',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'US President @realDonaldTrump &amp; First Lady get clicked in front of #TajMahal\\n@USAndIndia @IndianEmbassyUS\\u2026 https://t.co/VXVPkfSoTQ',b'1232024898706518017',b'DD India',b'DDIndialive',"b'New Delhi, India'","b'Official account of DD India, English News TV Channel of Doordarshan(Prasar Bharati-India\\u2019s Public Broadcaster)Follow us on https://t.co/C55s7Mms3d'",b'13475',b'527',b'82',b'25635',b'5976',b'True',b'False',b'True',b'False',b'2016-04-08 09:24:41'
"b'Chai ""Ghurr"" wali ya ""Shakar"" \\U0001f602\\U0001f602\\n\\n#TrumpIndiaVisit\\n#IvankaTrump https://t.co/6emz4HamV3 https://t.co/3z5oiq8vr7'",b'1232024843274641408',b'Sardar Sheraz',b'SardarMughal10m',b'',b'',b'123',b'1041',b'0',b'479',b'852',b'False',b'False',b'True',b'False',b'2019-09-28 07:50:02'
"b'Vibrant #MoteraStadium , Ahd.\\nOver 1.15lac voices simultaneously\\nMomented ""Bharat Mata Ki Jai"" \\n#ModiHaitoMumkinHai\\u2026 https://t.co/LTU0EpxvC7'",b'1232024626211020800',b'Anoop Tandon',b'AnoopTa21608584',"b'Kanpur, India'",b'Director - Kalpavriksha Learning Solutions\\nInstitute for Life Skills & Career Counciling.\\n\\u25c6Writer & Freelancer Journalist',b'34',b'79',b'0',b'533',b'95',b'False',b'False',b'True',b'False',b'2019-10-08 09:32:56'
b'#IvankaTrump \\n#MelaniaTrump \\n#TrumpInIndia #TrumpIndiaVisit #NamasteyTrump \\n#memer #jabardast_meme https://t.co/amkpEP1Mhb',b'1232023952505131010',b'Vishal Gaur',b'VishalG05319826',b'',b'a youth who knows what is right or wrong for his country/ criticise the wrong thing is my duty/...\\nhttps://t.co/rvIxylto1m',b'10',b'28',b'0',b'121',b'127',b'False',b'False',b'True',b'False',b'2020-01-29 02:29:19'
b'Sch me lgti to aisi hi h \\n#IvankaTrump #Ivanka #MelaniaTrump #TrumpInIndia #NamasteyTrump #TrumpInIndia\\u2026 https://t.co/3a1ZknePT7',b'1232023920452231171',b'Vishal Gaur',b'VishalG05319826',b'',b'a youth who knows what is right or wrong for his country/ criticise the wrong thing is my duty/...\\nhttps://t.co/rvIxylto1m',b'10',b'28',b'0',b'121',b'127',b'False',b'False',b'True',b'False',b'2020-01-29 02:29:19'
b'Enjoying Chicken Tikka Masala \\U0001f60band learning #Bhangra dance \\U0001f57a\\U0001f3fb#IvankaTrump #IndiaWelcomesTrump https://t.co/yaH34kRI51',b'1232022261621837826',b'Meriem Laabassi\\U0001f41d',b'LaabassiMeriem',"b'Algeria, Over the Rainbow IZK '","b'I\\u2019m just sitting on the dock of the bay wasting time! #OtisRedding. If you think you are too small to make a difference, try sleeping with a mosquito #DalaiLama'",b'111',b'1649',b'1',b'996',b'1398',b'False',b'False',b'True',b'False',b'2018-08-07 21:22:46'
b'@tonyposnanski Because America was canceled and she\\u2019s what\\u2019s left! #IvankaTrump',b'1232020493236080643',b'Daniel F. Theroux',b'DanielTheroux',"b'Providence, RI'","b'Former US Marine, studied at The University of West Florida, Political Independent and Poker Player yelling at the passing traffic of life!'",b'37',b'91',b'3',b'4583',b'2347',b'False',b'False',b'True',b'False',b'2016-09-06 22:47:02'
