b'@IvankaTrump Namaste Madam!\\nYou too looking beautiful. \\n#IvankaTrump',b'1231944191351017472',b'\\U0001f1ee\\U0001f1f3RAMDAS\\U0001f1ee\\U0001f1f3',b'akpurohitngr',"b""No Men's Land""",b'Proud \\U0001f6a9Hindu \\U0001f1ee\\U0001f1f3Indian\\nEx- Armed soldier.\\nMy first & Last Love Is Ma BHARTI.\\nAlways Right\\U0001f6a9\\n#IndianArmy\\n#JaHind\\n\\U0001f1ee\\U0001f1f3VNDEMATRAM\\U0001f1ee\\U0001f1f3\\n\\U0001f6a9\\u0950\\u0950\\U0001f6a9',b'3936',b'3555',b'10',b'58611',b'59860',b'False',b'False',b'False',b'False',b'2010-07-25 00:09:22'
b'#dontcomebacktrump\\n\\U0001f923\\U0001f923\\n\\n#GoBackTrump #IvankaTrump  #BoycottTakht #DDLJ https://t.co/fQkkAK32yY',b'1231908460876455937',b'omgodhwani\\U0001f525',b'omgodhwani2',b'',b'',b'13',b'77',b'0',b'111',b'488',b'False',b'False',b'True',b'False',b'2020-01-24 03:02:12'
"b'Prof @MD_Nalapat stresses the significance of the entire Trump family visiting India, including #Melania. Titles of\\u2026 https://t.co/umBHDGKLLa'",b'1231907235241967622',"b'Dept of GIR, Manipal'",b'girmanipal',"b'Udupi, India'","b'Official Twitter handle of the Dept of Geopolitics & International Relations, MAHE. Offers MA & PhD programmes, conducts academic/policy research.'",b'187',b'74',b'3',b'529',b'82',b'False',b'False',b'False',b'False',b'2017-01-13 07:48:25'
"b'\\u0aa8\\u0aae\\u0ab8\\u0acd\\u0aa4\\u0ac7 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa / \\u0a88\\u0ab5\\u0abe\\u0aa8\\u0acd\\u0a95\\u0abe \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa\\u0ac7 \\u0aaa\\u0ab9\\u0ac7\\u0ab0\\u0ac7\\u0ab2\\u0acb \\u0aa1\\u0acd\\u0ab0\\u0ac7\\u0ab8 \\u0aaa\\u0acb\\u0aa3\\u0abe \\u0aac\\u0ac7 \\u0ab2\\u0abe\\u0a96 \\u0ab0\\u0ac2\\u0aaa\\u0abf\\u0aaf\\u0abe\\u0aa8\\u0acb, \\u0a8f\\u0a95 \\u0ab5\\u0ab0\\u0acd\\u0ab7 \\u0a85\\u0a97\\u0abe\\u0a89 \\u0aaa\\u0aa3 \\u0a86 \\u0aa1\\u0acd\\u0ab0\\u0ac7\\u0ab8 \\u0aaa\\u0ab9\\u0ac7\\u0ab0\\u0acd\\u0aaf\\u0acb \\u0ab9\\u0aa4\\u0acb\\u2026 https://t.co/wsuN3ronMb'",b'1231907002281906176',b'Divya Bhaskar',b'Divya_Bhaskar',b'India',b'Welcome to the Official Twitter page of Worlds largest read Gujarati News Daily Website.',b'264595',b'297',b'386',b'96350',b'253',b'False',b'False',b'False',b'False',b'2010-01-13 15:48:18'
b'Aapne To Mera Dil Hi Le Liya. Itni Khoobsurat Bhala Koi Hoti He Kya. \\U0001f609\\n\\n#IvankaTrump \\u2764\\ufe0f',b'1231906799177084928',b'Akshay\\U0001f1ee\\U0001f1f3',b'Akshay__26',"b'Madhya Pradesh, India'",b'You know who I am..!!',b'70',b'162',b'0',b'1642',b'11724',b'False',b'False',b'True',b'False',b'2017-11-13 05:59:55'
"b'#IvankaTrump, daughter of the POTUS, landed in India on Monday wearing a floral dress for her second trip to the co\\u2026 https://t.co/Bxc5JDZusk'",b'1231906554732924929',b'News18 Lifestyle',b'News18Lifestyle',b'New Delhi',"b'From latest celeb fashion to delicious new recipes and health tips, all lifestyle updates served crisp and hot.'",b'1106',b'109',b'14',b'7789',b'37',b'False',b'False',b'True',b'False',b'2015-12-21 05:31:51'
b'\\u0b87\\u0ba4\\u0bc8\\u0baf\\u0bc7\\u0ba4\\u0bbe\\u0ba9\\u0bcd \\u0b85\\u0bb0\\u0bcd\\u0b9c\\u0bc6\\u0ba9\\u0bcd\\u0b9f\\u0bbf\\u0ba9\\u0bbe \\u0baa\\u0bcb\\u0ba9\\u0baa\\u0bcd\\u0baa\\u0bb5\\u0bc1\\u0bae\\u0bcd \\u0baa\\u0bcb\\u0b9f\\u0bcd\\u0b9f\\u0bc1\\u0baa\\u0bcd \\u0baa\\u0bcb\\u0ba9\\u0bbe\\u0b99\\u0bcd\\u0b95 \\u0b87\\u0bb5\\u0bbe\\u0b99\\u0bcd\\u0b95\\u0bbe.. \\u0bb5\\u0bbf\\u0bb2\\u0bc8\\u0baf\\u0bc7 \\u0b95\\u0bc7\\u0b9f\\u0bcd\\u0b9f\\u0bbe\\u0bb2\\u0bc7 \\u0b95\\u0bbf\\u0bb0\\u0bcd\\u0bb0\\u0bc1\\u0b99\\u0bcd\\u0b95\\u0bc1\\u0ba4\\u0bc7  https://t.co/u5hwnI8HBs\\u2026 https://t.co/eGeSonKqWl',b'1231905198039166977',b'Oneindia Tamil',b'thatsTamil',b'India',b'\\u0b92\\u0ba9\\u0bcd\\u0b87\\u0ba8\\u0bcd\\u0ba4\\u0bbf\\u0baf\\u0bbe https://t.co/LM9RRYfvBE #\\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bcd \\u0b87\\u0ba3\\u0bc8\\u0baf\\u0ba4\\u0bcd\\u0ba4\\u0bb3\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0ba9\\u0bcd \\u0b85\\u0ba4\\u0bbf\\u0b95\\u0bbe\\u0bb0\\u0baa\\u0bcd\\u0baa\\u0bc2\\u0bb0\\u0bcd\\u0bb5 \\u0baa\\u0b95\\u0bcd\\u0b95\\u0bae\\u0bcd. Follow latest news here https://t.co/aYGRfmMjeO',b'373002',b'29',b'868',b'282806',b'3',b'True',b'False',b'False',b'False',b'2008-12-17 09:00:53'
b'\\u0c2a\\u0c3e\\u0c24 \\u0c21\\u0c4d\\u0c30\\u0c46\\u0c38\\u0c4d\\u0c38\\u0c41\\u0c32\\u0c4b \\u2018\\u0c28\\u0c2e\\u0c38\\u0c4d\\u0c24\\u0c47 \\u0c1f\\u0c4d\\u0c30\\u0c02\\u0c2a\\u0c4d\\u2018\\u0c15\\u0c41.. \\u0c05\\u0c2f\\u0c3f\\u0c28\\u0c3e\\u0c38\\u0c30\\u0c47 \\u0c06\\u0c2e\\u0c46\\u0c28\\u0c47 \\u0c38\\u0c4d\\u0c2a\\u0c46\\u0c37\\u0c32\\u0c4d \\u0c05\\u0c1f\\u0c4d\\u0c30\\u0c3e\\u0c15\\u0c4d\\u0c37\\u0c28\\u0c4d..  https://t.co/NcQq7M3UEb #IvankaTrump\\u2026 https://t.co/wcotAXSUaZ',b'1231904722967097344',b'Oneindia Telugu',b'oneindiatelugu',b'\\u0c2c\\u0c46\\u0c02\\u0c17\\u0c33\\u0c42\\u0c30\\u0c41',b'\\u0c21\\u0c3f\\u0c1c\\u0c3f\\u0c1f\\u0c32\\u0c4d \\u0c2e\\u0c40\\u0c21\\u0c3f\\u0c2f\\u0c3e\\u0c32\\u0c4b \\u0c35\\u0c28\\u0c4d\\u0c07\\u0c02\\u0c21\\u0c3f\\u0c2f\\u0c3e \\u0c35\\u0c3f\\u0c36\\u0c3f\\u0c37\\u0c4d\\u0c1f\\u0c2e\\u0c48\\u0c02\\u0c26\\u0c3f. \\u0c2a\\u0c4d\\u0c30\\u0c2a\\u0c02\\u0c1a\\u0c35\\u0c4d\\u0c2f\\u0c3e\\u0c2a\\u0c4d\\u0c24\\u0c02\\u0c17\\u0c3e \\u0c38\\u0c02\\u0c2d\\u0c35\\u0c3f\\u0c02\\u0c1a\\u0c47 \\u0c38\\u0c02\\u0c18\\u0c1f\\u0c28\\u0c32\\u0c28\\u0c41 \\u0c05\\u0c24\\u0c3f \\u0c35\\u0c47\\u0c17\\u0c02\\u0c17\\u0c3e \\u0c2e\\u0c40 \\u0c35\\u0c47\\u0c33\\u0c4d\\u0c32 \\u0c15\\u0c4a\\u0c38\\u0c32\\u0c24\\u0c4b \\u0c1a\\u0c42\\u0c2a\\u0c3f\\u0c38\\u0c4d\\u0c24\\u0c41\\u0c02\\u0c26\\u0c3f \\u0c35\\u0c28\\u0c4d\\u0c07\\u0c02\\u0c21\\u0c3f\\u0c2f\\u0c3e \\u0c24\\u0c46\\u0c32\\u0c41\\u0c17\\u0c41.',b'14142',b'431',b'536',b'243606',b'372',b'False',b'False',b'False',b'False',b'2008-12-17 10:17:45'
"b'Trump In India :  \\u0930\\u093e\\u091c\\u0938\\u094d\\u0925\\u093e\\u0928 \\u0915\\u0947 \\u092f\\u0941\\u0935\\u0915 \\u0928\\u0947 \\u092f\\u0942\\u0902 \\u092e\\u0928\\u093e\\u092f\\u093e \\u091c\\u0936\\u094d\\u0928, \\u091f\\u094d\\u0930\\u0902\\u092a-\\u092e\\u094b\\u0926\\u0940 \\u0939\\u0947\\u092f\\u0930 \\u0938\\u094d\\u091f\\u093e\\u0907\\u0932 \\u0935\\u093e\\u0930\\u092f\\u0932 https://t.co/qdMkPove0G\\u2026 https://t.co/JrUJnXRoZq'",b'1231904552804216832',b'Oneindia Hindi',b'oneindiaHindi',b'Bangalore',"b'\\u0926\\u0947\\u0936-\\u0926\\u0941\\u0928\\u093f\\u092f\\u093e, \\u0905\\u092a\\u0928\\u0947 \\u0930\\u093e\\u091c\\u094d\\u092f \\u0914\\u0930 \\u0936\\u0939\\u0930 \\u0915\\u0940 \\u0938\\u091a\\u094d\\u091a\\u0940 \\u0914\\u0930 \\u0905\\u091a\\u094d\\u091b\\u0940 \\u0916\\u092c\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092a\\u0932-\\u092a\\u0932 \\u0930\\u0939\\u0947\\u0902 \\u0905\\u092a\\u0921\\u0947\\u091f - https://t.co/DEEEMe6myH'",b'50584',b'66',b'456',b'217974',b'183',b'True',b'False',b'False',b'False',b'2008-12-17 10:23:54'
"b'You can say #GoBackTrump but no one.......I repeat, no one will say the same for #IvankaTrump \\n\\n\\U0001f60e'",b'1231904177749557249',b'iam$$',b'The_S_S_',b'Kolkata',b'',b'0',b'79',b'0',b'10',b'0',b'False',b'False',b'True',b'False',b'2020-02-24 08:08:19'
"b'#TrumpInIndia #IvankaTrump   \\u09e7.\\u09ed \\u09b2\\u0995\\u09cd\\u09b7 \\u099f\\u09be\\u0995\\u09be\\u09b0 \\u09aa\\u09cb\\u09b6\\u09be\\u0995\\u09c7 \\u09a8\\u099c\\u09b0 \\u0995\\u09be\\u09a1\\u09bc\\u09b2\\u09c7\\u09a8 \\u099f\\u09cd\\u09b0\\u09be\\u09ae\\u09cd\\u09aa \\u0995\\u09a8\\u09cd\\u09af\\u09be \\u0987\\u09ad\\u09be\\u0999\\u09cd\\u0995\\u09be, \\u09a6\\u09c7\\u0996\\u09c1\\u09a8- \\u2018\\u09a8\\u09ae\\u09b8\\u09cd\\u09a4\\u09c7 \\u099f\\u09cd\\u09b0\\u09be\\u09ae\\u09cd\\u09aa\\u2019 \\u0985\\u09a8\\u09c1\\u09b7\\u09cd\\u2026 https://t.co/QH6YMCYoK9'",b'1231903523610038274',b'ABP Ananda',b'abpanandatv',b'Kolkata',"b'Breaking news from ABP Ananda (formerly STAR Ananda), the no.1 Bengali News channel'",b'215076',b'324',b'317',b'132127',b'1438',b'True',b'False',b'False',b'False',b'2012-05-30 15:22:40'
"b'\\u0905\\u092a\\u0928\\u0940 \\u092c\\u0940\\u0935\\u093f\\u092f\\u094b\\u0902 \\u0915\\u094b \\u092c\\u0924\\u093e \\u0926\\u0947\\u0902 \\u0915\\u093f \\u0906\\u091c \\u0907\\u0935\\u093e\\u0902\\u0915\\u093e \\u0928\\u0947 \\u091c\\u094b \\u0921\\u094d\\u0930\\u0947\\u0938 \\u092a\\u0939\\u0928\\u0940 \\u0939\\u0948, \\u0907\\u0938\\u0947 \\u0935\\u094b 2019 \\u092e\\u0947\\u0902 \\u0905\\u0930\\u094d\\u091c\\u0947\\u0902\\u091f\\u0940\\u0928\\u093e \\u0915\\u0940 \\u092f\\u093e\\u0924\\u094d\\u0930\\u093e \\u0915\\u0947 \\u0926\\u094c\\u0930\\u093e\\u0928 \\u092d\\u0940 \\u092a\\u0939\\u0928 \\u091a\\u0941\\u0915\\u0940\\u2026 https://t.co/lTRCONUPNU'",b'1231903330063937537',b'Naval Kant Sinha | \\u0928\\u0935\\u0932 \\u0915\\u093e\\u0902\\u0924 \\u0938\\u093f\\u0928\\u094d\\u0939\\u093e | \\u0646\\u0648\\u0644 \\u06a9\\u0627\\u0646\\u0679 \\u0633\\u0646\\u06c1\\u0627',b'navalkant',b'Lucknow Varanasi Lucknow',"b'\\U0001f538Journalist | News Satirist | \\U0001f536 \\u0959\\u092c\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u0916\\u0947\\u0932\\u0928\\u0947 \\u0915\\u0940 \\u0932\\u0924, \\u0907\\u0927\\u0930-\\u0909\\u0927\\u0930 \\u0920\\u0947\\u0932\\u0928\\u0947 \\u0915\\u0940 \\u0906\\u0926\\u0924\\u0964 \\u092f\\u0939\\u093e\\u0902 \\u092c\\u093f\\u0928\\u093e \\u092d\\u0947\\u0926\\u092d\\u093e\\u0935 \\u0924\\u092b\\u0930\\u0940\\u0939 \\u0932\\u0940 \\u091c\\u093e\\u0924\\u0940 \\u0939\\u0948\\u0964 \\u092e\\u0941\\u0938\\u094d\\u0915\\u0941\\u0930\\u093e\\u0939\\u091f \\u0915\\u094b \\u0906\\u0928\\u0947 \\u0926\\u094b, \\u092c\\u0941\\u0930\\u093e \\u0928 \\u092e\\u093e\\u0928\\u094b #AmaJaneDo \\U0001f61c'",b'8703',b'544',b'6',b'10055',b'17721',b'False',b'False',b'False',b'False',b'2009-10-11 11:18:58'
b'@POTUS praises @narendramodi and Indian democracy.\\n#DonaldTrump #DonaldTrumpIndiaVisit #NarendraModi #MelaniaTrump\\u2026 https://t.co/wBOylDMZgu',b'1231903252427550722',b'Business Today',b'BT_India',b'India',"b""India's leading business magazine. Reports latest news on business and economy. Tweets magazine features. (Also at https://t.co/B0XCvEPMki)""",b'986400',b'364',b'1302',b'106578',b'2071',b'True',b'False',b'False',b'False',b'2010-06-30 14:55:57'
b'#UAE will soon allow longer maternity and paternity leaves to their government employees. The event saw the presenc\\u2026 https://t.co/jUatLPDBg4',b'1231903058734436352',b'Recru',b'RecruIn',b'Gurugram',"b'https://t.co/z9baWji7Eq is a boutique talent advisory services firm, started by seasoned industry leaders from various domains.\\n\\n#recru #startrupadvice #HR #talent'",b'33',b'514',b'0',b'99',b'102',b'False',b'False',b'True',b'False',b'2019-11-26 11:46:14'
b'Two legendary persons in one pic thank you Mr President @realDonaldTrump For visiting India your my inspiration\\u2026 https://t.co/YB9e0dRorF',b'1231903050282876929',b'LIKITH VINAY .T',b'LikithVinayT1',"b'Vishakhapatnam, India'",b'welcome problems it makes you more stronger \\U0001f4aa in your \\U0001f493 life',b'13',b'90',b'0',b'298',b'1185',b'False',b'False',b'True',b'False',b'2019-12-07 18:28:50'
b'\\u0921\\u094b\\u0928\\u093e\\u0932\\u094d\\u0921 \\u091f\\u094d\\u0930\\u0902\\u092a \\u0915\\u093e \\u0939\\u093f\\u0902\\u0926\\u0940 \\u092e\\u0947\\u0902 \\u090f\\u0915 \\u0914\\u0930 \\u091f\\u094d\\u0935\\u0940\\u091f: \\u0905\\u092e\\u0947\\u0930\\u093f\\u0915\\u093e \\u0914\\u0930 \\u092d\\u093e\\u0930\\u0924 \\u0905\\u092a\\u0928\\u0947 \\u0926\\u0947\\u0936\\u094b\\u0902 \\u0915\\u094b \\u092e\\u091c\\u092c\\u0942\\u0924 \\u092c\\u0928\\u093e\\u090f\\u0902\\u0917\\u0947\\n#IvankaTrump #PresidentTrump\\u2026 https://t.co/BVE5hQeRhE',b'1231902993106141184',b'RNI NEWS',b'rninational',b'Noida',b'RNI News a digital news media.',b'2131',b'51',b'1',b'6971',b'91',b'False',b'False',b'True',b'False',b'2019-11-19 07:46:16'
b'\\u2018\\u0c28\\u0c2e\\u0c38\\u0c4d\\u0c24\\u0c47 \\u0c1f\\u0c4d\\u0c30\\u0c02\\u0c2a\\u0c4d\\u200c\\u2019\\u0c32\\u0c4b \\u0c07\\u0c35\\u0c3e\\u0c02\\u0c15 \\u0c24\\u0c33\\u0c41\\u0c15\\u0c41\\u0c32\\u0c41\\u200c\\u200c..!\\n#DonaldTrump #IvankaTrump #TrumpInIndia #NamasteTrump #TrumpIndiaVisit\\u2026 https://t.co/6FAwKsAht1',b'1231902843545608192',b'\\u0c08\\u0c28\\u0c3e\\u0c21\\u0c41',b'eenadulivenews',b'Hyderabad',"b'\\u0c08\\u0c28\\u0c3e\\u0c21\\u0c41 \\u0c05\\u0c27\\u0c3f\\u0c15\\u0c3e\\u0c30\\u0c3f\\u0c15 \\u0c1f\\u0c4d\\u0c35\\u0c3f\\u0c1f\\u0c4d\\u0c1f\\u0c30\\u0c4d \\u0c2a\\u0c47\\u0c1c\\u0c4d\\u200c 24/7 \\u0c38\\u0c4d\\u0c2a\\u0c4b\\u0c30\\u0c4d\\u0c1f\\u0c4d\\u0c38\\u0c4d\\u200c, \\u0c38\\u0c3f\\u0c28\\u0c3f\\u0c2e\\u0c3e, \\u0c1c\\u0c3e\\u0c24\\u0c40\\u0c2f-\\u0c05\\u0c02\\u0c24\\u0c30\\u0c4d\\u0c1c\\u0c3e\\u0c24\\u0c40\\u0c2f \\u0c35\\u0c3e\\u0c30\\u0c4d\\u0c24\\u0c32\\u0c41 \\u0c2e\\u0c4a\\u0c26\\u0c32\\u0c41\\u0c15\\u0c4a\\u0c28\\u0c3f \\u0c2a\\u0c4d\\u0c30\\u0c3e\\u0c02\\u0c24\\u0c40\\u0c2f(\\u0c24\\u0c46\\u0c32\\u0c02\\u0c17\\u0c3e\\u0c23, \\u0c06\\u0c02\\u0c27\\u0c4d\\u0c30\\u0c2a\\u0c4d\\u0c30\\u0c26\\u0c47\\u0c36\\u0c4d ) \\u0c35\\u0c3e\\u0c30\\u0c4d\\u0c24\\u0c32 \\u0c38\\u0c2e\\u0c17\\u0c4d\\u0c30 \\u0c38\\u0c2e\\u0c3e\\u0c1a\\u0c3e\\u0c30\\u0c02 \\u0c05\\u0c02\\u0c26\\u0c3f\\u0c38\\u0c4d\\u0c24\\u0c41\\u0c02\\u0c26\\u0c3f.'",b'27069',b'0',b'512',b'348773',b'142',b'False',b'False',b'False',b'False',b'2013-08-20 11:23:20'
b'#TrumpInIndia #NamasteyTrump #TrumpVisitIndia #IvankaTrump #MelaniaTrump\\n\\nWhat would you call the gals of POTUS &amp; FLOTUS?\\n\\nDOTUS! \\U0001f602\\U0001f923',b'1231902115649421313',b'sundar rajan',b'radnusnajar',b'Trichy',b'Bon vivant',b'31',b'165',b'0',b'886',b'1128',b'False',b'False',b'True',b'False',b'2018-08-08 05:08:48'
b'My brother was concerned about her tanning cuz she was made to sit in sun. Heights! \\U0001f602\\U0001f602\\U0001f602\\n\\nShe indeed is gorgeous \\U0001f495\\u2026 https://t.co/o3GApmAqjo',b'1231901954944720896',b'Shrishti Vishwakarma',b'Shrishtiiiii',b'New Delhi',"b'Literature student, Content Creator, Culture-Vulture, Foodie, Admirer of mother nature, Myers-Briggs says\\u2015 #INFJ\\U0001f913, an Old Soul\\U0001f495\\n\\n\\u092d\\u093e\\u0930\\u0924 \\u092e\\u093e\\u0924\\u093e \\u0915\\u0940 \\u091c\\u092f\\u0964 \\U0001f1ee\\U0001f1f3'",b'12091',b'216',b'21',b'2441',b'533',b'False',b'False',b'False',b'False',b'2014-05-03 02:29:27'
b'@SandeepMall #IvankaTrump',b'1231901924028506112',b'Yashpal Sethi',b'YASHatBEST',b'\\U0001f50d',"b'Sharira Madhyam Khalu Dharma Sadhanam"" (Physical body is the medium for the righteous action) writes Mahakavi Kalidas !'",b'225',b'115',b'2',b'21152',b'12149',b'False',b'False',b'False',b'False',b'2010-08-14 03:19:50'
b'#US President #DonaldTrump arrived on Monday in the historic city of #Agra in #UttarPradesh to visit the iconic 17t\\u2026 https://t.co/EXK4G8qT2P',b'1231901291858857984',b'IANS Tweets',b'ians_india',b'New Delhi',"b""India's largest independent News Agency""",b'30782',b'46',b'438',b'195850',b'13',b'True',b'False',b'False',b'False',b'2010-05-08 13:21:45'
b'#TrumpInIndia #TrumpIndiaVisit #TrumpModiMeet #IvankaTrump #IndiaWelcomesTrump #namestetrump https://t.co/Nev4ipAJRF',b'1231900958260527105',b'Whistle',b'00Whistle',b'INDIA',"b'I blow Whistle!! #Bollywood, #Hollywood, #Technology, #Politics, #Automobile enthusiast !!!\\nFollow 4 Follow'",b'4',b'73',b'0',b'24',b'16',b'False',b'False',b'True',b'False',b'2020-02-12 06:48:19'
"b'U.S. President #DonaldTrump, with First Lady #MelaniaTrump arrive at the Agra airport, joined by #IvankaTrump to vi\\u2026 https://t.co/4bLvYvzWnx'",b'1231900939931406336',b'BloombergQuint',b'BloombergQuint',"b'Mumbai, India'",b'#India\\u2019s premier multi-platform #business and financial #news company.\\n\\nFor #BQBlue subscription queries email: support@bloombergquint.com',b'116151',b'194',b'1092',b'186844',b'90',b'True',b'False',b'False',b'False',b'2016-03-29 08:30:59'
"b'\\u0915\\u094d\\u092f\\u093e \\u0915\\u0930\\u0924\\u0947 \\u0939\\u0948\\u0902 \\u0921\\u094b\\u0928\\u093e\\u0932\\u094d\\u0921 \\u091f\\u094d\\u0930\\u0902\\u092a \\u0915\\u0947 \\u0926\\u093e\\u092e\\u093e\\u0926, \\u0936\\u093e\\u0926\\u0940 \\u0915\\u0930\\u0928\\u0947 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u092c\\u0947\\u091f\\u0940 \\u0907\\u0935\\u093e\\u0902\\u0915\\u093e \\u0928\\u0947 \\u092c\\u0926\\u0932 \\u0932\\u093f\\u092f\\u093e \\u0925\\u093e \\u0905\\u092a\\u0928\\u093e \\u0927\\u0930\\u094d\\u092e #IvankaTrump \\nhttps://t.co/hC5FvnOno5'",b'1231900887733260288',b'Oneindia Hindi',b'oneindiaHindi',b'Bangalore',"b'\\u0926\\u0947\\u0936-\\u0926\\u0941\\u0928\\u093f\\u092f\\u093e, \\u0905\\u092a\\u0928\\u0947 \\u0930\\u093e\\u091c\\u094d\\u092f \\u0914\\u0930 \\u0936\\u0939\\u0930 \\u0915\\u0940 \\u0938\\u091a\\u094d\\u091a\\u0940 \\u0914\\u0930 \\u0905\\u091a\\u094d\\u091b\\u0940 \\u0916\\u092c\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092a\\u0932-\\u092a\\u0932 \\u0930\\u0939\\u0947\\u0902 \\u0905\\u092a\\u0921\\u0947\\u091f - https://t.co/DEEEMe6myH'",b'50584',b'66',b'456',b'217974',b'183',b'True',b'False',b'False',b'False',b'2008-12-17 10:23:54'
b'https://t.co/HCA0khLdU3\\n\\n#\\u0bae\\u0bbf\\u0bb0\\u0b9f\\u0bcd\\u0b9f\\u0bb2\\u0bcd\\u0b86\\u0bb0\\u0bae\\u0bcd\\u0baa\\u0bae\\u0bcd #Thalaivar168 #GoBackTrump #IvankaTrump #Jayalalithaa  #realmeX50Pro\\u2026 https://t.co/yNZXCha9Sp',b'1231899250692222976',b'Cueglitz',b'cueglitz',b'india',b'This is Life Style information website and youtube channel https://t.co/aCCW4VuPcM',b'5',b'88',b'0',b'8',b'24',b'False',b'False',b'True',b'False',b'2019-12-13 10:30:35'
"b""Okay it's crush @IvankaTrump \\U0001f60d\\n#IvankaTrump https://t.co/wOMa7lGcDT""",b'1231898927344939008',b'Raghvender singh',b'thechauhan_',"b'\\u0915\\u0930\\u0928\\u093e\\u0932, \\u092d\\u093e\\u0930\\u0924'",b'farmer class                                                                                   social and political activist',b'130',b'37',b'0',b'888',b'4054',b'False',b'False',b'True',b'False',b'2017-06-07 05:19:29'
b'Namaste Trump | US President Donald Trump &amp; PM Narendra Modi Road Show |... https://t.co/q79klao2EO via @YouTube\\u2026 https://t.co/eqXSLuKWAr',b'1231898626500284417',b'Farhan Gena',b'FarhanGena',"b'Ahmadabad City, India'","b""I'm Study in Audio - Visuals and Future Director\\U0001f3a5\\U0001f3ac and Editor\\U0001f4bb\\U0001f50d... coming soon Mumbai....\\nCurrently work in Gujarati Film \\U0001f3ac.\\nsnapchat : farhan_gena09""",b'73',b'2151',b'3',b'1330',b'2136',b'False',b'False',b'False',b'False',b'2012-02-02 16:18:19'
b'#UttarPradesh | US President #DonaldTrump and First Lady #MelaniaTrump and #IvankaTrump and #JaredKushner witness a\\u2026 https://t.co/nLa3p45vOe',b'1231898014060437504',b'First India',b'thefirstindia',"b'Jaipur, India'",b'Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia',b'3531',b'181',b'3',b'25971',b'94',b'False',b'False',b'False',b'False',b'2019-04-04 10:16:38'
b'Dumb and Dumber - 3! \\U0001f605\\n\\n#Trum_and_Dumb \\n\\n#Trump #Modi #IvankaTrump #GoBackTrump #TrumpInIndia https://t.co/iIenYBeRPE',b'1231897895265128448',b'\\u0b9f\\u0bcd\\u0bb5\\u0bbf\\u0b9f\\u0bcd\\u0b9f\\u0bb0\\u0bcd \\u0baa\\u0bcb\\u0bb0\\u0bbe\\u0bb3\\u0bbf !',b'karthik_thinks',b'Salem',b'Just Another Guy..............',b'1471',b'1526',b'4',b'94481',b'56168',b'False',b'False',b'True',b'False',b'2018-01-25 13:46:55'
"b'\\u0c86\\u0c97\\u0ccd\\u0cb0\\u0cbe\\u0c95\\u0ccd\\u0c95\\u0cc6 \\u0cac\\u0c82\\u0ca6\\u0cbf\\u0cb3\\u0cbf\\u0ca6 \\u0ca1\\u0cca\\u0ca8\\u0cbe\\u0cb2\\u0ccd\\u0ca1\\u0ccd \\u0c9f\\u0ccd\\u0cb0\\u0c82\\u0caa\\u0ccd; \\u0c95\\u0cc6\\u0cb2\\u0cb9\\u0cca\\u0ca4\\u0ccd\\u0ca4\\u0cbf\\u0ca8\\u0cb2\\u0ccd\\u0cb2\\u0cc7 \\u0ca4\\u0cbe\\u0c9c\\u0ccd \\u0cae\\u0cb9\\u0cb2\\u0ccd \\u0cb5\\u0cc0\\u0c95\\u0ccd\\u0cb7\\u0cbf\\u0cb8\\u0cb2\\u0cbf\\u0cb0\\u0cc1\\u0cb5 \\u0c9f\\u0ccd\\u0cb0\\u0c82\\u0caa\\u0ccd , \\u0c86\\u0c97\\u0ccd\\u0cb0\\u0cbe\\u0ca6\\u0cb2\\u0ccd\\u0cb2\\u0cbf \\u0c9f\\u0ccd\\u0cb0\\u0c82\\u0caa\\u0ccd \\u0c97\\u0cc6 \\u0cad\\u0cb5\\u0ccd\\u0caf \\u0cb8\\u0ccd\\u0cb5\\u0cbe\\u0c97\\u0ca4\\u2026 https://t.co/ZaG1ZlnKDT'",b'1231896801751359490',b'Vijay Karnataka',b'Vijaykarnataka',b'Bangalore',"b'Official Twitter Account of VK, PRIDE OF YOUNG KARNATAKA, A Times Internet Product | @Timesinternet'",b'83225',b'414',b'115',b'107337',b'81',b'True',b'False',b'False',b'False',b'2012-02-16 13:42:45'
b'US President Donald Trump and First Lady Melania Trump and @IvankaTrump and Jared Kushner witness artists perform a\\u2026 https://t.co/tc2qUWGPhd',b'1231896734940352513',b'India Ahead News',b'IndiaAheadNews',b'India',b'Digital and Mobile platform for discovering and sharing news on the go.',b'2971',b'126',b'5',b'19127',b'339',b'False',b'False',b'False',b'False',b'2018-03-29 08:24:44'
