"b'@HomeBuilderTex @ABC ""Good job, Tex!"" #IvankaTrump \\U0001f1fa\\U0001f1f8 https://t.co/uDYD3dkU2W'",b'1229205169914568704',b'ChairmanYou',b'ComradeYou',"b'Los Angeles, CA'",b'#TheResistance \\U0001f1fa\\U0001f1f8 #Resist \\U0001f1fa\\U0001f1f8 #MOT',b'1057',b'1561',b'0',b'4953',b'2934',b'False',b'False',b'True',b'False',b'2019-03-23 20:20:12'
b'@IvankaTrump \\nG.O.O.F.B.A.L.L.\\n\\U0001f605\\U0001f60f\\U0001f61c\\U0001f92a\\U0001f923\\U0001f602\\U0001f92d\\U0001f644\\U0001f64a\\n\\n#Ivanka #IvankaTrump #vank\\n#TrumpCrimeFamily #TrumpCrimeFamilyForPrison\\u2026 https://t.co/4ASt5p1OWZ',b'1228998620537671680',b'Kelly \\U0001f198 Banuba',b'KBanuba',b'',"b'Long time R & Christian.. disillusioned, disappointed, disgusted by same who are either in denial or complicit. Chump is a lying, corrupt, selfserving bully.'",b'163',b'91',b'0',b'18685',b'11848',b'False',b'False',b'True',b'False',b'2018-01-05 18:45:57'
b'#JewishAmericanPrincess #IvankaTrump/#YaelKushner  makes Royal Visit to #UnitedArabEmirates #UAE https://t.co/fQTo0lucEL',b'1228997565489668101',b'\\u0416\\u0430\\u043d\\u0434\\u0430\\u0440\\u043c\\u0430 \\u0415\\u0432\\u0440\\u043e\\u043f\\u044b',b'ojiman2',b'',"b'Do not be conformed to this world, but be transformed by\\xa0the renewing of your minds, so that you may discern what is the will of God....'",b'760',b'1414',b'4',b'41638',b'46192',b'False',b'False',b'True',b'False',b'2018-06-19 07:06:48'
"b'El Foro Internacional de #Mujeres\\U0001f481\\U0001f3fc\\u200d\\u2640\\ufe0f\\U0001f478\\U0001f3fb, al que asisti\\xf3 #IvankaTrump, enfatiza el impacto y la fuerza de la mujer\\u2026 https://t.co/9b58HfN1fr'",b'1228995082042433536',b'\\u063a\\u064a\\u062b \\u0631\\u0627\\u0634\\u062f \\u0627\\u0644\\u062d\\u0648\\u0633\\u0646\\u064a',b'GaytrAchd',b'',b'\\u0628\\u0627\\u062d\\u062b \\u062f\\u0643\\u062a\\u0648\\u0631\\u0627 \\u0628\\u062c\\u0627\\u0645\\u0639\\u0629 \\u0632\\u0627\\u064a\\u062f',b'11',b'79',b'0',b'85',b'123',b'False',b'False',b'True',b'False',b'2020-01-07 14:34:11'
b'#IvankaTrump f\\xe9licite le d\\xe9veloppement mondial que les femmes ont r\\xe9alis\\xe9 en seulement un an \\U0001f62e\\U0001f44f #GWFD2020 #UAE \\U0001f1e6\\U0001f1ea https://t.co/mdRyhVmYF7',b'1228993865895550977',b'Hala Sweedy',b'HalaSweedy',b'',"b""Vit actuellement \\xe0 Dubai \\U0001f1e6\\U0001f1ea Master en architecture\\U0001f393 Esprit d'aventure\\u2708\\ufe0f""",b'47',b'103',b'0',b'86',b'2',b'False',b'False',b'True',b'False',b'2020-01-28 14:35:10'
"b'""I am delighted to be attending the Global Women\'s Forum Dubai to advance women\'s economic empowerment around the w\\u2026 https://t.co/8E2EA7iE8b'",b'1228993759792320512',b'Mariam Saleh',b'MariamSalehh_',b'',b'\\u0623\\u0645\\u0627\\u0631\\u0627\\u062a\\u064a\\u0629..#\\u062f\\u0628\\u064a \\u062f\\u0627\\u0631\\u064a \\u0648\\u0645\\u0631\\u0628\\u0627\\u064a ...\\u0623\\u062d\\u0628 \\u0627\\u0644\\u0648\\u0637\\u0646\\u2764 ....\\u0645\\u062d\\u0628\\u0629 \\u0644\\u0644\\u0634\\u0639\\u0631..  \\U0001f607\\u2764',b'89',b'299',b'0',b'176',b'126',b'False',b'False',b'True',b'False',b'2020-01-14 14:53:05'
"b'In the presence of #IvankaTrump , His Highness Sheikh Mohammed bin Rashid, and Her Highness Sheikha Fatima Bint Mub\\u2026 https://t.co/TrDUpL3Po5'",b'1228992373956530177',b'MonaAlymahy \\U0001f60e\\U0001f33a',b'MonaRashed4__',b'',b'\\u0625\\u0646 \\u0623\\u0648\\u0644 \\u062d\\u0628 \\u064a\\u063a\\u0631\\u0633 \\u0641\\u064a \\u0642\\u0644\\u0648\\u0628\\u0646\\u0627 \\u0645\\u0646\\u0630 \\u0648\\u0644\\u0627\\u062f\\u062a\\u0646\\u0627 \\u0648\\u062d\\u062a\\u0649 \\u0645\\u0648\\u062a\\u0646\\u0627 \\u0647\\u0648 \\u062d\\u0628 \\u0627\\u0644\\u0648\\u0637\\u0646\\n #\\u0627\\u0645\\u0627\\u0631\\u0627\\u062a\\u064a\\u0629  \\u0648 \\u0627\\u0641\\u062a\\u062e\\u0631',b'33',b'93',b'0',b'117',b'57',b'False',b'False',b'True',b'False',b'2020-01-14 12:37:10'
b'#IvankaTrump reminds me of #PhoebeBuffay https://t.co/g6mCPFj5iQ',b'1228992221506101250',b'\\u0645\\u0631\\u064a\\u0645 \\u0627\\u0644\\u062f\\u0648\\u0628\\u064a \\u2665',b'Maryam_AlDoobi',b'',b'Ms. Mayom. April29. Taurus. Moody. Voulnteer. DEWA. Engineer. Volleyball. Badmiton. Handball. Innovator. Leader. HBMSU. Reader. Social. Positive. #\\u0643\\u0627\\u0638\\u0645_\\u0627\\u0644\\u0633\\u0627\\u0647\\u0631',b'1399',b'443',b'24',b'60896',b'13036',b'False',b'False',b'True',b'False',b'2011-03-01 12:58:18'
"b""Ivanka Trump, adviser to the #US President, praised the #UAE's leadership in advancing women empowerment in the reg\\u2026 https://t.co/Akd9BclIgR""",b'1228992203042762754',b'Chouk Hemdan',b'Chouk_Hemdan',b'',b'\\u0645\\u0627\\u062c\\u0633\\u062a\\u064a\\u0631 \\u0641\\u064a \\u0625\\u062f\\u0627\\u0631\\u0629 \\u0627\\u0644\\u0623\\u0639\\u0645\\u0627\\u0644.. \\u0627\\u0647\\u062a\\u0645 \\u0628\\u0627\\u0644\\u0631\\u064a\\u0627\\u0636\\u0647 \\u0648 \\u0627\\u062a\\u0627\\u0628\\u0639 \\u0627\\u0644\\u0633\\u064a\\u0627\\u0633\\u0647.....\\u0627\\u0644\\u0645\\u0648\\u0633\\u064a\\u0642\\u0649 \\u0639\\u0634\\u0642 \\u0644\\u0627 \\u064a\\u0646\\u062a\\u0647\\u064a \\U0001f60a',b'108',b'294',b'1',b'180',b'136',b'False',b'False',b'True',b'False',b'2020-01-14 15:13:55'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/ORcwPKG959""",b'1228991047243403265',b'jacie wells',b'jaciewells1',"b'Cameron Park, CA'",b'Poshmark ambassador !!! luv POSHING.  very ambitious and love staying busy',b'1236',b'3758',b'3',b'5944',b'499',b'False',b'False',b'True',b'False',b'2019-02-03 23:55:33'
"b'El Foro Internacional de Mujeres en #Dubai para empoderar a las mujeres y resaltar su papel en la sociedad, con la\\u2026 https://t.co/nCEwREIqBH'",b'1228990563174830080',b'\\u0639\\u0641\\u0631\\u0627 \\u0627\\u0644\\u0645\\u062d\\u064a\\u0631\\u0628\\u064a',b'AfraaAlmhiri',b'',b'\\u0648\\u0644\\u0627\\u0626\\u064a \\u0627\\u0644\\u0623\\u0648\\u0644 \\u0648\\u0627\\u0644\\u0623\\u062e\\u064a\\u0631 \\u0644\\u0644\\u0625\\u0645\\u0627\\u0631\\u0627\\u062a \\u0641\\u0642\\u0637',b'8',b'52',b'0',b'91',b'85',b'False',b'False',b'True',b'False',b'2020-01-07 14:24:49'
b'Is. .@jaketapper .@andersoncooper .@HardballChris .@Alyssa_Milano telling you that #IvankaTrump is doing more for w\\u2026 https://t.co/upTU6dhKLV',b'1228983924337954817',b'Anastasia Tamar',b'AnastasiaG57',b'',"b'PhD, \\u2764\\ufe0f for Israel \\u2721\\ufe0f\\U0001f1f8\\U0001f1fb, animals, truth, goodness and freedom of speech. Enemy \\U0001f621of foolishness, bigotry, stupidity, lies,ignorance, violence and propaganda.'",b'514',b'731',b'17',b'81889',b'92590',b'False',b'False',b'True',b'False',b'2015-05-02 21:12:47'
b'Ik heb al die mensen die Kaag en Hennis met hoofddoek verafschuwen nog niet gehoord over #IvankaTrump op bezoek in\\u2026 https://t.co/h9AFe8Jpbx',b'1228983106729893889',b'PimZ',b'pimzz',"b'Hilversum, Nederland'",b'Noord Hollandse Amsterdammer in Hilversum',b'524',b'2088',b'0',b'9526',b'10412',b'False',b'False',b'False',b'False',b'2009-04-06 18:37:22'
b'\\u0641\\u064a \\u0628\\u062f\\u0627\\u064a\\u0629 \\u0632\\u064a\\u0627\\u0631\\u062a\\u0647\\u0627 \\u0644\\u0644\\u0625\\u0645\\u0627\\u0631\\u0627\\u062a..\\u0625\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627 \\u062a\\u0631\\u0627\\u0645\\u0628 \\u0628\\u063a\\u0637\\u0627\\u0621 \\u0631\\u0623\\u0633 \\u0641\\u064a \\u0645\\u0633\\u062c\\u062f \\u0627\\u0644\\u0634\\u064a\\u062e \\u0632\\u0627\\u064a\\u062f!\\n\\n#\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 #\\u0623\\u062e\\u0628\\u0627\\u0631_\\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 #\\u0625\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627_\\u062a\\u0631\\u0627\\u0645\\u0628\\u2026 https://t.co/3rP3wRro3h',b'1228981232706506752',b'Foochia - \\u0641\\u0648\\u0634\\u064a\\u0627',b'foochia',b'Middle East',b'\\u0645\\u0648\\u0642\\u0639 \\u064a\\u0647\\u062a\\u0645 \\u0628\\u0634\\u0624\\u0648\\u0646 \\u0648\\u0634\\u062c\\u0648\\u0646 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629 \\u0627\\u0644\\u0639\\u0631\\u0628\\u064a\\u0629\\u060c \\u0645\\u0646\\u0647 \\u0646\\u0637\\u0644 \\u0639\\u0644\\u0649 \\u0639\\u0627\\u0644\\u0645 \\u0627\\u0644\\u0623\\u0632\\u064a\\u0627\\u0621\\u060c \\u0627\\u0644\\u062c\\u0645\\u0627\\u0644\\u060c \\u0627\\u0644\\u0631\\u0634\\u0627\\u0642\\u0629 \\u0648\\u0627\\u0644\\u0644\\u0628\\u0627\\u0642\\u0629\\u060c \\u0648\\u0646\\u062a\\u0627\\u0628\\u0639 \\u0623\\u062e\\u0628\\u0627\\u0631 \\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 \\u0648\\u0627\\u0644\\u0641\\u0646 \\u0648\\u0627\\u0644\\u062b\\u0642\\u0627\\u0641\\u0629.',b'129661',b'511',b'137',b'76697',b'734',b'True',b'False',b'False',b'False',b'2015-01-21 05:39:38'
"b'The latest The Daily  Ivanka Trump, #IvankaTrump #TrumpFamily! https://t.co/8NqxW9lIQo Thanks to @ger2591\\u2026 https://t.co/mprrw0T5SJ'",b'1228979197865005057',b'Ise-no-Kamikaze \\u4f0a\\u52e2\\u306e\\u795e\\u98a8',b'matuoka7ocean',b'Japan ',"b""Let's build Modern Ark, for the future to people.  I wish to build Useful Ocean-Structures such as the Noah's Ark in the 7 Oceans. https://matuoka1248.blogspot.""",b'3249',b'3923',b'102',b'121071',b'51570',b'False',b'False',b'False',b'False',b'2009-09-08 06:12:41'
b'@VOANews What on earth does Aladdin look like? An embarrassment to the nation.....still!!! #IvankaTrump #trump',b'1228973562050043905',b'Daily News',b'funnythatha',b'',"b""It's better to be a lion for the day rather than a sheep for life.""",b'0',b'55',b'0',b'998',b'220',b'False',b'False',b'True',b'False',b'2017-01-26 16:44:27'
b'Looking so pretty. @IvankaTrump #IvankaTrump https://t.co/bbPKe9FY30',b'1228970705930289152',b'Chitranjan Kumar Roy\\U0001f5e8\\ufe0f',b'RoyChitranjan2',b'Muzaffarpur _ India',b'#Indian\\n\\n\\n\\n\\n\\n\\n\\n\\n#Interest_poltics\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n#\\u091c\\u092c \\u092d\\u0940 \\u0915\\u093f\\u0938\\u0940 \\u0915\\u094b #\\u0907\\u0902\\u0938\\u093e\\u092b \\u0928\\u0939\\u0940\\u0902 \\u092e\\u093f\\u0932\\u0947\\u0917\\u093e \\u0924\\u094b \\u0909\\u0938\\u0915\\u0947 \\u0932\\u093f\\u090f #\\u0906\\u0935\\u093e\\u091c \\u092c\\u0941\\u0932\\u0902\\u0926 \\u0915\\u0930\\u0942\\u0902\\u0917\\u093e\\u0964',b'65',b'65',b'0',b'3837',b'3555',b'False',b'False',b'True',b'False',b'2016-11-04 06:15:31'
"b'#WGDP is an ambitious plan by the Trump administration to empower women globally, with an ambitious plan to reach 5\\u2026 https://t.co/sWC8gmhdCN'",b'1228967974758944771',b'Khloud Almansour',b'itiskkm',b'',b'ex @miskksa @ksamofa @worldbank |@WEF #GlobalShaper #Davos50  |busy making it happen \\U0001f64f\\U0001f3fc',b'1788',b'513',b'4',b'901',b'1035',b'False',b'False',b'True',b'False',b'2018-01-28 23:46:16'
"b'Minutes to the opening remarks of the #WefiSummit with David Malpass, president of WB &amp; #IvankaTrump, the woman beh\\u2026 https://t.co/9mm7Z7UVzT'",b'1228967244908154880',b'Refat Alareeky',b'RAlareeky',b'Yemen',b'A highly motivated Change Maker .... Biomedical Engineer ...\\n Project Officer #SMEPSYemen',b'251',b'232',b'0',b'198',b'1196',b'False',b'False',b'True',b'False',b'2019-04-08 08:32:37'
"b""#Discover #have fun &amp; #sow #awesome #preferred #dispatches in 'Femocracy: Women's Power Hub'\\u2026 https://t.co/KmmlTlGzH0""",b'1228964192528617472',b'WomensPowerCen',b'WomensPowerCen',b'',b'Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM',b'3095',b'4897',b'453',b'139957',b'151',b'False',b'False',b'True',b'False',b'2016-05-03 19:27:17'
b'What a pic !\\n#IvankaTrump \\n#UAE https://t.co/JGh0TR2mVL',b'1228963978031902720',b'The PLaya',b'3ainawi101',b'UAE \\U0001f1e6\\U0001f1ea',b'Patriot..Fan of @alainfcae ..@juventusfc & @fcbarcelona....Life is a Game.Sempre in Vetta',b'37',b'338',b'0',b'4174',b'150',b'False',b'False',b'True',b'False',b'2018-12-03 18:05:22'
"b'Ivanka Trump visits Dubai, Abu Dhabi prior GWFD 2020 https://t.co/YrJrHz9Ic3 @IvankaTrump #ivankatrump #dubai #abudhabi #GWFD2020'",b'1228963793138540545',b'KhaleejJournal.com',b'khaleejjournal',b'',b'',b'17',b'156',b'0',b'281',b'17',b'False',b'False',b'True',b'False',b'2018-09-25 19:15:34'
b'Tell me how!\\nYesterday her father fights al-aqsa mosque.\\nAnd she visits another mosque in Dubai today.\\n\\U0001f612\\U0001f612\\u2026 https://t.co/mVjIA35ghU',b'1228958443308044304',b'Moooo\\U0001f60f',b'eldohmis',b'cairo',b'\\u200f\\u0628\\u062a\\u0627\\u0639 \\u062f\\u0631\\u0627\\u0633\\u0627\\u062a \\u062c\\u062f\\u0648\\u0649 \\u0648\\u0627\\u0644\\u0644\\u0630\\u064a \\u0645\\u0646\\u0647.\\nEconomic and market analyst',b'153',b'1097',b'0',b'556',b'717',b'False',b'False',b'True',b'False',b'2016-01-03 20:12:45'
b'@IvankaTrump Is there a difference between Ivanka and a Barbie doll?\\n\\nEverything is fake about that woman. \\U0001f648\\n#Ivanka #IvankaTrump #Trump',b'1228957044805439488',b'Ex-Oligarch',b'ExOligarch',b'NEW YORK \\xb7 HAMBURG \\xb7 MOSKAU',"b'Wer meint, die politische Welt immer noch in zwei Lager aufteilen zu k\\xf6nnen, ist entweder ein Faschist oder Sklave der herrschenden Oligarchie.\\n#links #rechts'",b'35',b'103',b'1',b'719',b'165',b'False',b'False',b'False',b'False',b'2014-01-05 08:52:33'
"b""#IvankaTrump meets Emirati female entrepreneurs during tour of Abu Dhabi tourist spots\\nUS president's daughter and\\u2026 https://t.co/XB6uFtE0jX""",b'1228956212412243968',b'Discover Abu Dhabi',b'365AbuDhabi',b'',b'',b'20437',b'2437',b'14',b'5238',b'782',b'False',b'False',b'True',b'False',b'2015-04-15 09:24:46'
b'@MollyJongFast The narcissism is strong in this one. #IvankaTrump https://t.co/qiqNjM0ySi',b'1228954116166234113',b'J-Lux352\\U0001f3f4\\U000e0067\\U000e0062\\U000e0077\\U000e006c\\U000e0073\\U000e007f\\U0001f1ec\\U0001f1e7\\U0001f1ea\\U0001f1fa',b'LuxJaye',b'Luxembourg',"b'Wales, UK, European Immigrant, Brexit, U.K. Politics, U.S. Politics, EU, Human Rights.'",b'429',b'629',b'38',b'33948',b'49328',b'False',b'False',b'True',b'False',b'2012-02-07 20:58:15'
"b'Minutes to the opening remarks of the #WefiSummit with David Malpass, president of WB &amp; #IvankaTrump, the woman beh\\u2026 https://t.co/Y5KrRjm3f5'",b'1228947947695616000',b'\\u0645\\u064a\\u062b\\u0627\\u0642 \\u0627\\u0644\\u0642\\u062f\\u0633\\u064a',b'methaqkadasi',b'',b'',b'254',b'612',b'0',b'842',b'1441',b'False',b'False',b'False',b'False',b'2013-07-28 14:35:57'
"b'Minutes to the opening remarks of the #WefiSummit with David Malpass, president of WB &amp; #IvankaTrump, the woman beh\\u2026 https://t.co/Jwd7xdNkph'",b'1228947718686625792',b'Safiya Al-Jabry',b'SofieAlj',"b""Sana'a, Yemen""",b'Acting Executive Director #SMEPS... MSc Finance #Chevening.. Coffee & Chocolate lover..Believe in the goodness & unity of humankind.. #Peace #Love #Humanity\\u2763\\ufe0f',b'687',b'398',b'2',b'431',b'1712',b'False',b'False',b'False',b'False',b'2014-05-04 09:04:55'
b'@IvankaTrump Daughter-wife reminds me of Magda Goebbels. @realDonaldTrump is so proud of his #NaziPrincess.\\u2026 https://t.co/tkpzH0zfgL',b'1228944375159250949',b'Dane Blue',b'cephalondane',b'',b'',b'717',b'2211',b'11',b'9640',b'28515',b'False',b'False',b'True',b'False',b'2016-04-04 04:38:54'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/gRHWpOjudG""",b'1228943982287155200',b'Derek Big Poppa',b'Twolilchefs',"b'California, USA'",b'Surrounding myself around positive people doing positive things! cooking with my two lil chefs and creating moments!',b'71',b'215',b'3',b'270',b'14',b'False',b'False',b'True',b'False',b'2016-05-18 20:10:04'
b'The emperor has no clothes cause this bitch took all the material #DonaldTrump #IvankaTrump #IMPOTUS #useless https://t.co/IQHtyJbep1',b'1228940931128332292',b'The Seeker',b'el_seeker',b'',b'Instigator of truth; lone wolf ; #RESISTANCE warrior',b'16',b'83',b'0',b'1963',b'4204',b'False',b'False',b'True',b'False',b'2015-01-12 21:26:04'
"b""@CLH45 @IvankaTrump I guess sometimes we all gotta do what we gotta do, no matter how humiliating. I feel #IvankaTrump's pain.""",b'1228934457979105280',b'Hillarisms',b'JuliaGorin',b'',"b""Writer/comic;left world in '10, may rejoin under first male Pres since '88. Conserv, not Repub. Never got over '99 Clinton war. Technophobe.Twitr &FB-challenged""",b'168',b'327',b'5',b'2200',b'952',b'False',b'False',b'False',b'False',b'2010-07-24 18:57:18'
"b'They say Ivanka #IvankaTrump is going to the emirate, uae \\U0001f1e6\\U0001f1ea so she can take the fragrance of a fragrance of Zayed\\u2026 https://t.co/yNcHMQ46aD'",b'1228931053211017216',b'Deniz Engelhardt',b'DenizEngelhardt',"b'Istanbul, Turkey'",b'\\u0623\\u064f\\u0648\\u0644\\u064e\\u0670\\u0626\\u0650\\u0643\\u064e \\u0647\\u064f\\u0645\\u064f \\u0627\\u0644\\u0652\\u0645\\u064f\\u0624\\u0652\\u0645\\u0650\\u0646\\u064f\\u0648\\u0646\\u064e \\u062d\\u064e\\u0642\\u064b\\u0651\\u0627 \\u06da \\u0644\\u064e\\u0647\\u064f\\u0645\\u0652 \\u062f\\u064e\\u0631\\u064e\\u062c\\u064e\\u0627\\u062a\\u064c \\u0639\\u0650\\u0646\\u0652\\u062f\\u064e \\u0631\\u064e\\u0628\\u0650\\u0651\\u0647\\u0650\\u0645\\u0652 \\u0648\\u064e\\u0645\\u064e\\u063a\\u0652\\u0641\\u0650\\u0631\\u064e\\u0629\\u064c \\u0648\\u064e\\u0631\\u0650\\u0632\\u0652\\u0642\\u064c \\u0643\\u064e\\u0631\\u0650\\u064a\\u0645\\u064c',b'1202',b'787',b'2',b'92374',b'202219',b'False',b'False',b'True',b'False',b'2012-01-24 09:20:30'
b'@VOANews #IvankaTrump https://t.co/IdOQE61Wg8',b'1228927747143061504',b'CMIsla. \\U0001f30a\\U0001f1f5\\U0001f1f7\\U0001f469\\U0001f3fd\\u200d\\U0001f3eb\\U0001f576\\u262e\\ufe0f\\U0001f309\\U0001f3dd',b'isla_cm',"b'San Francisco, CA'","b'Unapologetic Latina mother, teacher and union activist in San Francisco. Politics,Ed,SocJust! I report BOTs! #Resist #UniteBlue #VoteBlue'",b'5152',b'4998',b'45',b'41079',b'92875',b'False',b'False',b'False',b'False',b'2009-04-17 03:07:18'
"b""@IvankaTrump you are definitely not my voice.! I would receive you as a #fraud #married to a wank that doesn't know\\u2026 https://t.co/5LP5K9OrW4""",b'1228925853586903040',b'Resister Mister',b'cautiiongemini',b'',b'#badtwin brought me here....to assure ....#goodtwin has anxiety in the morning.\\n#geminilife #duplexitygames \\U0001f608\\U0001f607\\U0001f64f',b'51',b'173',b'0',b'2237',b'3672',b'False',b'False',b'True',b'False',b'2017-09-20 23:05:45'
b'@psychdr100 @pookietooth @nicolejames #IvankaTrump is a #FecklessClot',b'1228916897145663489',b'Magnolia Viper',b'OleanderNectar',b'',"b'Southern liberal. Blocked by Sebastian Gorka, the NRA, Diamond & Silk. Blocked by prosperity preacher parasites Joel Osteen and Paula White. #Resist'",b'19514',b'20004',b'6',b'75695',b'213923',b'False',b'False',b'True',b'False',b'2017-11-25 20:21:51'
"b""Ivanka Trump, daughter of US President Donald Trump, visits Abu Dhabi's Sheikh Zayed Grand Mosque ahead of the Glob\\u2026 https://t.co/ZyAyFk1KOV""",b'1228916828224679936',b'Al Arabiya English',b'AlArabiya_Eng',b'Dubai',b'The Arab world\\u2019s leading source of global news and opinion.',b'810653',b'41',b'11125',b'244019',b'0',b'True',b'False',b'False',b'False',b'2009-02-28 08:31:32'
b'Why is this woman over there representing this country we are not a monarchy she is not a bloody princess. It is so\\u2026 https://t.co/uI0fqwtz7X',b'1228915914046705665',b'Jenny Tenneson \\U0001f914\\U0001f1ec\\U0001f1e7',b'jmtenneson',b'Rio Rancho NM USA',"b'Born in UK live in the US, retired community banker, software developer.'",b'72',b'202',b'2',b'5573',b'14038',b'False',b'False',b'False',b'False',b'2010-12-19 18:17:38'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/2ZtCb9sJ7P""",b'1228913923526623233',b'Reta Durham',b'reta_durham',"b'Port Isabel, TX'","b""I'm a retired teacher now selling real estate in South Padre Island, TX with Wells Real Estate. I wanted a different life and I definitely have it.""",b'98',b'487',b'0',b'1212',b'523',b'False',b'False',b'True',b'False',b'2015-05-13 01:10:46'
b'#IvankaTrump will give a keynote address at the Global Women\\u2019s Forum? \\U0001f923\\U0001f602\\U0001f605 \\U0001f923 https://t.co/ZigRbvHpWZ',b'1228912820357681152',b'Sergio Martinez',b'SergioToronto',"b'Ontario, Canada'",b'community activist; human rights advocate; passionate film buff; and a super heroes nerd.',b'205',b'289',b'8',b'6756',b'9883',b'False',b'False',b'True',b'False',b'2010-02-24 01:03:59'
b'#IvankaTrump https://t.co/GpDaFEUYSx https://t.co/kCsr7rJ9XS',b'1228898020961538049',b'MaritimeMaggie\\u2693\\ufe0f\\U0001f99e\\U0001f988',b'maritimemaggie',b'North Atlantic by the Ocean',"b""I's the gal that builds the boat And I's the gal that sails her. No lists pls. And RTs don't necessarily mean I agree.""",b'2356',b'2700',b'82',b'63714',b'39312',b'False',b'False',b'False',b'False',b'2010-01-29 11:29:35'
b'The DIVA of the universe as of date #IvankaTrump https://t.co/iGxIb8kXDQ',b'1228897264413937665',b'Hassan Dervish',b'haydervish',b'Afghanistan',b'A proud Afghan follower of Hazaraism. tweets are mine retweets are not endorsement.',b'90',b'478',b'2',b'2238',b'3965',b'False',b'False',b'True',b'False',b'2014-11-05 08:09:06'
b'Wicked Witch has arrived #Ivanka #IvankaTrump https://t.co/CiklnPGSAr',b'1228896640129536000',b'Rogue Wave',b'BillGallagher20',"b'Boston, MA'","b'have not seen it all\\U0001f6b4\\U0001f3fb\\u200d\\u2640\\ufe0f Day Trader NASDAQ exchange\\U0001f939\\u200d\\u2642\\ufe0fDowneaster Boating\\U0001f30aCoast Guard AUX \\U0001f325 citizen marine scientist \\U0001f30eArt, Nature, Travel and Music = Joy'",b'642',b'1427',b'1',b'14234',b'6912',b'False',b'False',b'True',b'False',b'2015-12-20 18:37:42'
b'@4_the_babies she has this whole fantasy in her vacuous #corrupt #Kleptocratic head of being @POTUS - she thinks sh\\u2026 https://t.co/9KeqdjfdXN',b'1228896106366603264',b'Bobby Sands',b'kaoconnor',b'El Paso TX',"b'The falcon cannot hear the falconer;\\nThings fall apart; the centre cannot hold.\\nThe best lack all conviction, the worst   \\nAre full of passionate intensity.'",b'4538',b'4955',b'17',b'33135',b'42136',b'False',b'False',b'False',b'False',b'2008-09-13 14:25:45'
b'@stuartpstevens If  you  GOOGLE: \\u201cPretender\\u201d\\n\\nA Picture of #JaredKushner or #IvankaTrump Pops Up.\\u2026 https://t.co/7yp6Rheog5',b'1228893274406105088',b'Inconvenient Truth \\U0001f30a\\U0001f30a\\U0001f30a',b'InconvenientTr5',b'Blue Wave USA \\U0001f30a\\U0001f30a\\U0001f30a\\U0001f30a\\U0001f30a\\U0001f30a',b'Exposing Truth vs BS. #Trump is #UNFIT to be #POTUS. #FactsMatter #WhiteHouse is now a Reality TV SH-T Show. #ETTD #TrumpCrimeFamily Must GO in November!',b'341',b'808',b'8',b'30778',b'37383',b'False',b'False',b'False',b'False',b'2018-06-17 05:30:18'
b'I can\\u2019t help myself. I detest #IvankaTrump. So much.',b'1228892102639181824',b'Julie Slavet',b'JulieSlavet',b'Philadelphia PA for now!',"b'Proud Jewish feminist D green mother of 2 brilliant caring polit/cultural mavens. Hippie. At best on road w/husband. Boston born, miss my hometown. Smith 79'",b'1349',b'2314',b'69',b'48864',b'10115',b'False',b'False',b'True',b'False',b'2011-07-24 03:42:22'
b'#realDonaldTrump\\n#IvankaTrump\\n\\nA Presidency Increasingly Guided by Suspicion and Distrust https://t.co/3E6h2TH3jC',b'1228890693541736449',b'Xixxioux',b'xixxioux',"b'Toronto, Ontario'",b'',b'329',b'1891',b'0',b'20587',b'41967',b'False',b'False',b'True',b'False',b'2009-03-14 20:55:40'
"b""Why hasn't #IvankaTrump been subpoenaed to testify before the House, @SpeakerPelosi ? https://t.co/sSsA7AQONm""",b'1228889011114008577',b'MPetrelis',b'MichaelPetrelis',"b'San Francisco, CA'",b'Proud queer advocate',b'1178',b'678',b'138',b'40939',b'36993',b'False',b'False',b'False',b'False',b'2013-01-02 20:55:05'
b'that ass \\U0001f61b #IvankaTrump  @IvankaTrump \\U0001f4f8 https://t.co/gBv7VFmHDn',b'1228888860983205890',b'OFFICALFOREVER',b'officalforever',b'',b'',b'0',b'0',b'0',b'3',b'0',b'False',b'False',b'True',b'False',b'2019-06-06 09:43:01'
